row_id,movie_id,country_id,statement_id
movie_countries_6964,Q12406796,Q183,Q12406796-60898DF1-0A32-4DC4-9A87-C27087A11ECD
movie_countries_6965,Q12406796,Q801,Q12406796-dc1467ea-4dce-ef7f-6224-d9ee06fd0464
movie_countries_6966,Q12406917,Q801,Q12406917-2E5AD423-27CA-402F-BC68-C7F7DA1294AF
movie_countries_6967,Q12407032,Q801,Q12407032-24B74078-55F1-4A63-8F7B-A50AEF762042
movie_countries_6968,Q12407096,Q801,Q12407096-E34F2180-91C7-4A87-9817-9A7E79FB0381
movie_countries_6969,Q12408133,Q801,Q12408133-32d54189-43c7-4cde-9a39-33d7b09533e9
movie_countries_6970,Q12408743,Q801,Q12408743-3FADF55B-AF34-4FD2-A5B6-8C4C9E3F6D7B
movie_countries_6971,Q12409391,Q801,Q12409391-2D08C062-6093-4AD6-AA04-FB940D3FCECA
movie_countries_6972,Q124098394,Q30,Q124098394-dcebe958-4eee-5165-c7a2-1b395143b150
movie_countries_6973,Q12410177,Q801,Q12410177-56037B48-6512-4ED0-A5F7-554D597841A6
movie_countries_6974,Q12410788,Q801,Q12410788-5c05ece0-46f1-8ae9-9cea-d5c62e8bd4fe
movie_countries_6975,Q12411255,Q801,Q12411255-31E5BD74-6F5A-4F09-BE44-4013E8BFA938
movie_countries_6976,Q124131345,Q30,Q124131345-2bb672e6-4ce7-4ebc-8490-101604a54ea6
movie_countries_6977,Q1241836,Q668,Q1241836-54EF716E-C4B4-4171-9733-85A1FB8996D4
movie_countries_6978,Q124196410,Q8646,Q124196410-0e4b93e8-4f9f-05e9-afea-fca86b56ecbb
movie_countries_6979,Q124215661,Q30,Q124215661-dd110509-4b22-295f-d87f-25cb967234e4
movie_countries_6980,Q124216482,Q30,Q124216482-7d228088-4050-0ec1-d7f0-162ba50bd2fe
movie_countries_6981,Q1242222,Q30,Q1242222-DEE5DF13-1853-4422-8E98-7D6059A1761F
movie_countries_6982,Q1242222,Q34,Q1242222-DA960CC1-F2F0-48DC-BEE7-5F8068EF37FC
movie_countries_6983,Q1242222,Q35,Q1242222-03458094-BE50-485E-A8CB-1F5A0BB06563
movie_countries_6984,Q124246470,Q148,Q124246470-3b6a43b5-483c-8e86-a98c-c9cd0e1f3c2f
movie_countries_6985,Q124246470,Q16,Q124246470-aa9c8745-42e8-e3f3-79d3-030d1c5325fa
movie_countries_6986,Q124246470,Q30,Q124246470-87e323f1-4394-f85f-5592-6187403b6054
movie_countries_6987,Q124248117,Q30,Q124248117-1e67bdfd-4a31-4cb0-93fb-2251705c0e90
movie_countries_6988,Q124249580,Q148,Q124249580-a9089290-4ae8-d32e-317d-9de3983ceb1e
movie_countries_6989,Q124250689,Q30,Q124250689-214617f2-410d-0ec6-121f-7d0cd5a04c77
movie_countries_6990,Q124253867,Q30,Q124253867-89a3068c-4d70-6e74-f9c3-ae437119d597
movie_countries_6991,Q1242543,Q145,Q1242543-FCAEDE22-1C92-4AEA-AB49-C4620DFD311C
movie_countries_6992,Q1242543,Q183,Q1242543-D9E9976D-F7AA-434C-815C-D661E64D9305
movie_countries_6993,Q1242543,Q30,Q1242543-03F95451-B560-486C-A144-36C2D3B04E4A
movie_countries_6994,Q124255913,Q30,Q124255913-1a49e866-42ad-9a1d-99a3-0d4942e36bae
movie_countries_6995,Q124256183,Q16,Q124256183-0f30dc2c-49b3-8904-b493-3b67b4e467fe
movie_countries_6996,Q124256183,Q183,Q124256183-1979aa9a-4a66-93ef-3c40-452db848ad9e
movie_countries_6997,Q124256460,Q30,Q124256460-51d9ac10-4704-2df9-ee86-2a9d5474d438
movie_countries_6998,Q124258654,Q148,Q124258654-85c294bb-4f87-7db2-b38f-fced0e01532f
movie_countries_6999,Q124259173,Q148,Q124259173-955f5505-4e56-c912-cb7b-591f3292c717
movie_countries_7000,Q124260477,Q30,Q124260477-72a03390-4f7d-1110-b691-778b1ed005cc
movie_countries_7001,Q124262351,Q142,Q124262351-708edf67-4216-deb6-8305-605dc6503644
movie_countries_7002,Q124262351,Q155,Q124262351-fffce84e-4b5e-d621-975b-4f5ddc051418
movie_countries_7003,Q1242727,Q34,Q1242727-3EF3767B-6B1D-40A8-AB2F-9053F4456A14
movie_countries_7004,Q124282681,Q30,Q124282681-48d69a3e-494f-a82e-2342-13e9cc43b87e
movie_countries_7005,Q124282681,Q414,Q124282681-79966bd6-47d4-20a1-5d3e-fce0422cd781
movie_countries_7006,Q124288425,Q414,Q124288425-61c62f4d-4b8a-1bad-8762-2e2ae096b336
movie_countries_7007,Q12428942,Q668,Q12428942-C2671D53-9EDA-4F61-BC55-B13AA1C47FAB
movie_countries_7008,Q124289803,Q30,Q124289803-720c74d2-4062-1631-6f6a-2eef713b4503
movie_countries_7009,Q12428988,Q668,Q12428988-7A2D5CAA-D91D-4EAF-90D1-657B52E9DEDA
movie_countries_7010,Q12429398,Q668,Q12429398-A30425E1-C857-4307-9BF1-1F0654FA8C72
movie_countries_7011,Q12429457,Q668,Q12429457-5BA06C30-8D95-425C-8D07-8F5EE3F9C072
movie_countries_7012,Q1242957,Q38,Q1242957-5C48D01F-97F4-4D4E-8DC2-8159F00C9F14
movie_countries_7013,Q124308286,Q31,Q124308286-47e2edb4-4031-bbdd-a16c-2dbfa6fea62c
movie_countries_7014,Q124308286,Q55,Q124308286-0f7c274d-42e6-7ef1-af04-ec9b064fbf13
movie_countries_7015,Q124311829,Q16,Q124311829-3e2bcc1f-4441-25d4-d8a8-5a91869abd5d
movie_countries_7016,Q124316634,Q833,Q124316634-1355ac97-aa93-4b6a-937d-83e030c4adb0
movie_countries_7017,Q124317176,Q869,Q124317176-63029459-4956-678a-8cae-2d9ebf37f642
movie_countries_7018,Q124323597,Q30,Q124323597-0629a40f-40e5-a3ba-f52a-fc2a9310f812
movie_countries_7019,Q124326764,Q142,Q124326764-40cb9b1f-465e-4b1d-93b5-d6df91c6b38d
movie_countries_7020,Q124331620,Q142,Q124331620-9da2dde8-42db-340f-76b2-3b83e9d837ab
movie_countries_7021,Q124331620,Q148,Q124331620-79ba2ee3-4644-d064-6d6b-3dd594e71d41
movie_countries_7022,Q124331620,Q17,Q124331620-ffe2c164-40b1-93b2-467b-3d7b3e04de0d
movie_countries_7023,Q124331620,Q183,Q124331620-5f88bcd6-413d-79ad-f028-774d87750f9d
movie_countries_7024,Q124331620,Q38,Q124331620-7563f2eb-431a-53e0-7202-d7a1a7a32262
movie_countries_7025,Q124331620,Q45,Q124331620-599741af-42be-456b-922a-14944ca29c77
movie_countries_7026,Q124334469,Q30,Q124334469-829c81c3-4b24-83cd-a5df-ce6e6892db85
movie_countries_7027,Q124334469,Q96,Q124334469-59b5f69a-495f-9dd0-b9e6-e2e61a3459c2
movie_countries_7028,Q124335053,Q142,Q124335053-f9eec01d-40ba-08f1-7166-fbdb821b2285
movie_countries_7029,Q124335053,Q183,Q124335053-85955332-4dfe-89b8-e649-dd389fbdb2da
movie_countries_7030,Q124335053,Q31,Q124335053-3c053b1b-46c4-0e18-6cfb-f76b8608717d
movie_countries_7031,Q12433675,Q668,Q12433675-B1D03A51-5D27-4B6C-93D0-77C2F251CDA6
movie_countries_7032,Q124337176,Q30,Q124337176-6974e50f-44df-e314-2f49-968a670c3e26
movie_countries_7033,Q1243381,Q159,Q1243381-C4757803-E262-483A-911E-63D72C74D6F6
movie_countries_7034,Q12434631,Q668,Q12434631-83BA3C44-5834-4A45-8564-AFE6581236AD
movie_countries_7035,Q1243508,Q183,Q1243508-1DF9274A-C920-4199-8325-E0090FBAF78A
movie_countries_7036,Q124352605,Q30,Q124352605-571a1b5c-4a1b-b4e7-1d1e-d2c5684565c4
movie_countries_7037,Q124353875,Q30,Q124353875-2ebdc62b-4f99-693c-5c50-3feff0cd9d05
movie_countries_7038,Q1243571,Q668,Q1243571-7E898567-1BE4-43A5-B2E1-A81F4A509698
movie_countries_7039,Q124359261,Q29,Q124359261-58acb337-45ad-740c-c2f0-7d69759d1b62
movie_countries_7040,Q124364048,Q142,Q124364048-dbda9176-4493-a61a-5701-9fde01e28962
movie_countries_7041,Q124364048,Q17,Q124364048-fa49a47d-4070-d05a-e7c0-ac40d95ad5db
movie_countries_7042,Q124364048,Q27,Q124364048-55d19750-4783-7e47-aeb1-bc1f33c8568b
movie_countries_7043,Q124364048,Q30,Q124364048-f3855d97-4f37-0445-c460-64e33bce90e9
movie_countries_7044,Q124364048,Q38,Q124364048-1c7b95b9-4058-b752-d14b-e915ef366896
movie_countries_7045,Q124364757,Q30,Q124364757-ac9dac1f-4a42-d353-1666-b1ddbeb536d9
movie_countries_7046,Q1243674,Q16,Q1243674-4370B42F-562C-49B5-A3F3-88AFE889C053
movie_countries_7047,Q1243674,Q40,Q1243674-BA8CC879-2C13-4243-ADD8-046776E37204
movie_countries_7048,Q124370375,Q145,Q124370375-aea7c44e-47f7-40d7-6e58-841480f984ab
movie_countries_7049,Q124370375,Q16,Q124370375-edb0a13d-440c-b257-c5bb-a5f5f5f68d45
movie_countries_7050,Q124370375,Q213,Q124370375-c87dc8d3-4219-0039-113f-43ca99cbd19c
movie_countries_7051,Q124370375,Q30,Q124370375-2227760d-4e15-b0f5-6ad3-735c5b18e34d
movie_countries_7052,Q124373035,Q30,Q124373035-9b9bb5b4-4f05-a855-61c1-81def2026f44
movie_countries_7053,Q12437666,Q668,Q12437666-DB3C62EE-4FAD-4F39-AF4B-A394045782AD
movie_countries_7054,Q124378266,Q30,Q124378266-f22e5cad-445d-7f65-d08b-de4c81fcf294
movie_countries_7055,Q124380480,Q30,Q124380480-89459f64-42a0-c72c-a9fb-96a21f25a7e3
movie_countries_7056,Q124382485,Q145,Q124382485-0909AC94-55D8-4BCF-90E7-2D11A0874404
movie_countries_7057,Q124382485,Q32,Q124382485-E632C87E-407A-4A5B-A4BF-7CB4C2943F72
movie_countries_7058,Q124382485,Q36,Q124382485-F29BE4FC-A827-4B94-B527-7BBE34DE1B79
movie_countries_7059,Q12438981,Q668,Q12438981-FC910164-F890-47E0-9610-8E0E46842A10
movie_countries_7060,Q124393045,Q145,Q124393045-dfd11d84-4fc7-e018-9fd4-b8f30f732d71
movie_countries_7061,Q124393045,Q30,Q124393045-39a7525c-4421-1fd0-f79c-ea9eb9484362
movie_countries_7062,Q124393045,Q96,Q124393045-a1560329-44e0-3e42-96b9-5c88072c2b16
movie_countries_7063,Q124393313,Q30,Q124393313-d05aa9d3-44f1-31e2-1231-27cc9b577083
movie_countries_7064,Q1243969,Q183,Q1243969-5155D867-6BDB-4E1B-AAA9-6871E5FF5FD1
movie_countries_7065,Q1243969,Q40,Q1243969-31ff6ade-4124-27be-1dd1-bc54dae5dca8
movie_countries_7066,Q124397410,Q30,Q124397410-2a6d4bbc-4f38-fd32-0684-ab6bd3e46798
movie_countries_7067,Q124398018,Q30,Q124398018-681904eb-4a45-8f78-5d37-783844256a9c
movie_countries_7068,Q124400088,Q145,Q124400088-75bd0863-4078-b1b6-9da8-bd0b020e368a
movie_countries_7069,Q124408474,Q30,Q124408474-3401f472-4d11-cb14-9f6b-653362b10b5b
movie_countries_7070,Q124426106,Q145,Q124426106-e8727098-4e8e-399e-c033-df46941e42b7
movie_countries_7071,Q124426106,Q189,Q124426106-b6c0e875-4818-1986-3bc8-2bae3cc3490c
movie_countries_7072,Q124426106,Q27,Q124426106-81c2fa46-4195-b1ea-081e-d2aba516c87d
movie_countries_7073,Q124426106,Q30,Q124426106-936817ad-45ad-6944-698a-29986ea1f83e
movie_countries_7074,Q124426106,Q31,Q124426106-941fc641-474b-cfa7-b202-0a9376cdbf36
movie_countries_7075,Q124427625,Q30,Q124427625-48d06315-4534-c693-d15f-738a4ba65a18
movie_countries_7076,Q124435493,Q30,Q124435493-633fd506-4ea3-9f59-e3eb-36a3e17b9da8
movie_countries_7077,Q124436027,Q884,Q124436027-c8643d32-46d7-675b-6f82-b559978bf771
movie_countries_7078,Q124439306,Q145,Q124439306-7e42d00d-4029-329a-b45d-c327e70f4a21
movie_countries_7079,Q124450734,Q30,Q124450734-cb2d5a32-4ad4-5b80-b374-d90bc95c1b62
movie_countries_7080,Q124450737,Q30,Q124450737-b4a87e7f-447b-aa3e-a5a9-9f519e00c257
movie_countries_7081,Q12446251,Q668,Q12446251-945D3475-FDAB-4ECA-8C22-46F8FE298247
