row_id,person_id,name,description,birth_date
people_34693,Q3768347,Giovanni Vettorazzo,Italian actor,1953-10-11T00:00:00Z
people_34694,Q3768370,Giovanni Virgilio,Italian film producer,1983-02-01T00:00:00Z
people_34695,Q37688090,Marcus Hester,American actor,1974-06-19T00:00:00Z
people_34696,Q3769056,Giselda Volodi,Italian actress,1959-09-28T00:00:00Z
people_34697,Q3769237,Giulia Bevilacqua,Italian actress,1979-05-19T00:00:00Z
people_34698,Q3769259,Giulia Elettra Gorietti,actress,1988-09-26T00:00:00Z
people_34699,Q3769276,Giulia Lazzarini,Italian actress,1934-03-24T00:00:00Z
people_34700,Q376928,Drew Tyler Bell,"American teen actor, former actor and current tap dancer and singer",1986-01-29T00:00:00Z
people_34701,Q3769305,Giulia Weber,Italian actress,1966-02-02T00:00:00Z
people_34702,Q3769735,Giulio Pampiglioni,Italian actor,1978-09-06T00:00:00Z
people_34703,Q376981,Peter Firth,English actor (born 1953),1953-10-27T00:00:00Z
people_34704,Q376995,Q376995,Danish actor and film director,1956-08-10T00:00:00Z
