row_id,movie_id,person_id,statement_id
directors_8549,Q15040678,Q126633,Q15040678-3ff16fe1-4eaa-10e5-4337-127c0caa56fa
directors_8550,Q15040718,Q16221753,Q15040718-dbb26fc8-4cf9-4a5a-a83e-796864077a5d
directors_8551,Q15040718,Q6788348,Q15040718-B05E887B-3591-4268-8FF1-23786DE91BC7
directors_8552,Q15040721,Q1523831,Q15040721-a10c6d3a-4552-589c-3dd3-793165ad5015
directors_8553,Q15040722,Q113559044,Q15040722-82A9CB45-6F76-4CB3-8123-5307038ABF78
directors_8554,Q15040778,Q5299478,Q15040778-1B4F54E4-4228-47E6-BB3A-856984ED66BC
directors_8555,Q15040782,Q4964309,Q15040782-6A105947-347D-46E3-BC18-88351DF07720
directors_8556,Q15040917,Q13638984,Q15040917-E83F61F9-7468-48AB-9FA2-1907B90EEC5F
directors_8557,Q15040917,Q3378803,Q15040917-12CAD321-BA00-41AB-9E9F-B1F369244550
directors_8558,Q1504287,Q96164,q1504287-437f8701-43ba-612c-ccb6-68f05dc485e4
directors_8559,Q15043347,Q3696452,Q15043347-B2F324D9-0CB8-4A52-BDFB-79694D5CFDBF
directors_8560,Q15043359,Q3194810,Q15043359-AFA4F367-E7BC-449B-9840-E10EA444DE2E
directors_8561,Q1504375,Q3127485,q1504375-71111C5E-E30A-4150-859B-05BB372DA951
directors_8562,Q15044971,Q2857813,Q15044971-C4E0A203-5C39-4166-B429-9148060433E2
directors_8563,Q1504568,Q51488,q1504568-89FFC612-0C30-4963-9902-3292753045DC
directors_8564,Q15046091,Q55294,Q15046091-120E9B02-96B3-49E5-A41E-810FC8CB2A93
directors_8565,Q15046175,Q3476760,Q15046175-C5530D47-3A01-4DD4-BC47-2A232E35F67F
directors_8566,Q15046490,Q295964,Q15046490-1593332d-4e51-90b5-4773-1feca058323e
directors_8567,Q15046521,Q60842615,Q15046521-e976b502-42a4-a0dc-e9d2-c8c362e09a87
directors_8568,Q15046541,Q5213495,Q15046541-0FC0E36C-DD7D-4D5D-B4EC-A8CE1CFF42B2
directors_8569,Q15046558,Q26897001,Q15046558-BB4A5095-B432-45F1-8242-F30E3B327048
directors_8570,Q15046563,Q22958170,Q15046563-C2B0AF4B-3E7F-43C0-9A17-9C118C8C553D
directors_8571,Q15046565,Q6702134,Q15046565-9A14661E-6BB4-4DA9-9F99-E48CA0C0E85D
