row_id,movie_id,title,description,release_date,duration
movies_60,Q1004801,Bumer,2003 Crime drama film directed by Pyotr Buslov,2003-08-02T00:00:00Z,110.0
movies_61,Q100489991,Deeper!,2020 film directed by Mikhail Segal,2020-01-01T00:00:00Z,109.0
movies_62,Q100490548,Between Heaven and Earth,2019 film by Najwa Najjar,2019-01-01T00:00:00Z,92.0
movies_63,Q100506077,Dry Wind,2020 film directed by Daniel Nolasco,2020-02-26T00:00:00Z,110.0
movies_64,Q100532928,Come True,2020 film directed by Anthony Scott Burns,2020-01-01T00:00:00Z,105.0
movies_65,Q100535001,Cat in the Wall,2019 film by Vesela Kazakova and Mina Mileva,2019-01-01T00:00:00Z,92.0
movies_66,Q1005361,A Tale of Mari and Three Puppies,2007 film,2007-01-01T00:00:00Z,124.0
movies_67,Q100550091,Home,2008 film directed by Mary Haverstick,2008-01-01T00:00:00Z,
movies_68,Q100557141,About Joan,2022 film by Laurent Larivière,2022-02-15T00:00:00Z,101.0
movies_69,Q100558146,Echo,2019 film by Rúnar Rúnarsson,2019-01-01T00:00:00Z,79.0
movies_70,Q100564447,Motherland,2019 film by Tomas Vengris,2019-01-01T00:00:00Z,97.0
movies_71,Q100573244,The Big Hit,2020 film by Emmanuel Courcol,2020-08-28T00:00:00Z,105.0
movies_72,Q100604555,Nelly Rapp – Monsteragent,2020 film by Amanda Adolfsson,2020-10-23T00:00:00Z,92.0
movies_73,Q100604559,Levi,2019 Nigerian film directed by Okechukwu Oku,2019-01-18T00:00:00Z,
movies_74,Q100606376,Angels Fallen,2020 film directed by Ali Zamani,2020-01-14T00:00:00Z,86.0
movies_75,Q100613366,David Attenborough: A Life on Our Planet,2020 documentary film,2020-10-04T00:00:00Z,
movies_76,Q100683417,Samjin Company English Class,2020 film directed by Lee Jong-pil,2020-10-21T00:00:00Z,110.0
movies_77,Q100693180,Fatuma,2018 Tanzanian drama film,2004-01-01T00:00:00Z,
movies_78,Q100699177,The Evil Next Door,2020 film directed by Oskar Mellander and Tord Danielsson,2020-01-01T00:00:00Z,87.0
movies_79,Q100699493,Ich schenk dir einen Seitensprung,2002 film directed by Dominikus Probst,2002-01-01T00:00:00Z,86.0
movies_80,Q100700071,Diamonds in the Sky,2018 Nigerian movie,2018-01-01T00:00:00Z,
movies_81,Q100701374,Don't Breathe 2,2021 film directed by Rodo Sayagues,2021-08-13T00:00:00Z,98.0
movies_82,Q100703600,Baby Done,2020 film directed by Curtis Vowell,2020-01-01T00:00:00Z,91.0
movies_83,Q100704907,Tiger 3,2023 film directed by Maneesh Sharma,2023-11-10T00:00:00Z,155.0
movies_84,Q100707295,Claire Andrieux,2020 film directed by Olivier Jahan,2020-10-09T00:00:00Z,90.0
movies_85,Q100707365,The Luckiest Man,2008 Hong Kong drama,2008-05-29T00:00:00Z,120.0
movies_86,Q100708744,Mamá o papá,2021 film directed by Dani de la Orden,2021-01-01T00:00:00Z,103.0
movies_87,Q100716189,Beyto,2020 film by Gitta Gsell,2020-09-25T00:00:00Z,98.0
movies_88,Q100718095,Ranchero,2008 film directed by Richard Kaponas,2008-01-01T00:00:00Z,
movies_89,Q100718251,Full Moon,2019 film by Nermin Hamzagić,2019-01-01T00:00:00Z,85.0
movies_90,Q100719246,Gagarine,2020 film directed by Fanny Liatard and Jérémy Trouilh,2020-11-18T00:00:00Z,96.0
movies_91,Q100721048,Isaac,2019 film by Jurgis Matulevičius,2019-01-01T00:00:00Z,104.0
movies_92,Q100722067,The Road to Love,2001 film directed by Rémi Lange,2001-01-01T00:00:00Z,70.0
movies_93,Q100724914,Dual,2022 film directed by Riley Stearns,2022-01-22T00:00:00Z,95.0
movies_94,Q100736066,Belfast,2021 film directed by Kenneth Branagh,2021-09-02T00:00:00Z,97.0
movies_95,Q100740616,If I Am President,2018 Nigerian movie,2018-10-20T00:00:00Z,119.0
movies_96,Q100740657,Caveman,2023 film directed by Laura Lackmann,2023-01-26T00:00:00Z,
movies_97,Q100744821,Killing Jews for German Health,2009 documentary film by Hannes Karnick and Wolfgang Richter,2009-12-03T00:00:00Z,89.0
movies_98,Q100745823,Transeúntes,2015 film by Luis Aller,2015-01-01T00:00:00Z,101.0
movies_99,Q100753217,Albträumer,2020 film directed by Philipp Klinger,2020-01-01T00:00:00Z,94.0
movies_100,Q1007629,Golimaar,2010 film by Puri Jagannadh,2010-05-27T00:00:00Z,
movies_101,Q100774045,Under the Stars of Paris,2020 film directed by Claus Drexel,2020-10-28T00:00:00Z,90.0
movies_102,Q100783666,Adventures of a Mathematician,2020 film directed by Thorsten Klein,2020-01-01T00:00:00Z,103.0
movies_103,Q100801718,Don't Worry Darling,2022 film directed by Olivia Wilde,2022-09-05T00:00:00Z,120.0
movies_104,Q100844812,Unbeatable Youth,Hong Kong martial art film produce in 2014,2014-02-06T00:00:00Z,
movies_105,Q100859606,The Real Iron Monkey,2014 Hong Kong movie,2014-01-01T00:00:00Z,
movies_106,Q1008785,The Wings of the Night,2009 film by Serdar Akar,2009-01-01T00:00:00Z,
movies_107,Q1008801,Adhurs,2010 Telugu film directed by V. V. Vinayak,2009-01-01T00:00:00Z,
movies_108,Q100886621,Yakuza and the Family,2021 film directed by Michihito Fujii,2021-01-29T00:00:00Z,
movies_109,Q100889636,Decision to Leave,2022 South Korean romantic mystery film directed by Park Chan-wook.,2022-05-23T00:00:00Z,138.0
movies_110,Q100930419,The New Gospel,2020 film directed by Milo Rau,2020-09-01T00:00:00Z,107.0
movies_111,Q100931010,Aznavour by Charles,2019 film directed by Marc di Domenico,2019-10-02T00:00:00Z,83.0
movies_112,Q100941289,Rose Island,2020 film directed by Sydney Sibilia,2020-12-09T00:00:00Z,117.0
movies_113,Q100945934,Collectors,2020 film directed by Park Jung-bae,2020-11-04T00:00:00Z,
movies_114,Q100967106,Shadows,2020 film by Carlo Lavagna,2020-10-21T00:00:00Z,100.0
movies_115,Q100980095,Tereza37,2020 film directed by Danilo Šerbedžija,2020-01-01T00:00:00Z,100.0
movies_116,Q100984113,Toubab,2020 film by Florian Dietrich,2021-09-23T00:00:00Z,
movies_117,Q101001358,A Rose in Winter,2018 film by Joshua Sinclair,2018-01-01T00:00:00Z,135.0
movies_118,Q101001959,Skylines,2020 film by Liam O'Donnell,2020-01-01T00:00:00Z,104.0
movies_119,Q101002778,Terrifier 2,2022 film directed by Damien Leone,2022-11-03T00:00:00Z,138.0
movies_120,Q101005247,Fox in a Hole,2020 film directed by Arman T. Riahi,2020-10-09T00:00:00Z,103.0
movies_121,Q1010058,Simha,2010 film by Boyapati Srinu,2010-04-30T00:00:00Z,
movies_122,Q1010071,Rakta Charitra,2010 film directed by Ram Gopal Varma,2010-01-01T00:00:00Z,
movies_123,Q1010082,Jhummandi Naadam,2010 film by K. Raghavendra Rao,2010-07-01T00:00:00Z,
movies_124,Q1010099,Get Carter,2000 film by Stephen Kay,2000-01-01T00:00:00Z,98.0
movies_125,Q1010104,Khaleja,2010 film by Trivikram Srinivas,2010-10-07T00:00:00Z,170.0
movies_126,Q101010925,Wonderland,South Korean film directed by Kim Tae-yong,2024-06-05T00:00:00Z,113.0
movies_127,Q101030417,Héliopolis,2021 film directed by Djaffar Gacem,2021-01-01T00:00:00Z,116.0
movies_128,Q101033424,Me and the Cult Leader,2020 Japanese documentary film,2021-03-20T00:00:00Z,
movies_129,Q101040730,Erlauntza,2020 film directed by Mireia Gabilondo,2020-11-06T00:00:00Z,
movies_130,Q101046574,Salir del ropero,2019 film directed by Ángeles Reiné,2019-01-01T00:00:00Z,94.0
movies_131,Q101058798,Orca,2020 film by Josephine Bornebusch,2020-10-30T00:00:00Z,105.0
movies_132,Q101069738,Resident Evil: Welcome to Raccoon City,2021 film directed by Johannes Roberts,2021-11-19T00:00:00Z,106.0
movies_133,Q101070072,Twelfth Night,2001 film directed by Miguel Bardem,2001-01-01T00:00:00Z,99.0
movies_134,Q101072559,Outlaw,Russian queer drama (2019),2019-01-01T00:00:00Z,
movies_135,Q101078012,Wolf,2021 film directed by Nathalie Biancheri,2021-01-01T00:00:00Z,98.0
movies_136,Q101090249,"Acasă, My Home",2020 documentary film by Radu Ciorniciuc,2020-01-01T00:00:00Z,86.0
movies_137,Q101091534,The Euphoria of Being,2019 documentary film by Réka Szabó,2019-01-01T00:00:00Z,84.0
