row_id,movie_id,person_id,statement_id
cast_32176,Q1156694,Q1269974,q1156694-B950AE23-F7BD-470A-B03B-F3427911B33E
cast_32177,Q1156694,Q1276177,q1156694-05D7A5A2-E3DD-4FD5-9FB5-1D38DA402531
cast_32178,Q1156694,Q1285225,q1156694-AE38035F-E6B7-45BF-8E04-12748011E21B
cast_32179,Q1156694,Q1289047,q1156694-CAEAA0D3-9B63-4EE0-9809-507E61944D65
cast_32180,Q1156694,Q1560813,q1156694-04A6BA18-9257-4092-A7AD-7B87BC7C079A
cast_32181,Q1156694,Q318158,q1156694-4068591A-BA97-41B9-9CAA-C613A902C4A7
cast_32182,Q1156694,Q4938585,Q1156694-95343B36-6216-49BC-8F86-9E226E6AED90
cast_32183,Q1156694,Q868862,q1156694-4C0AD5BD-9754-4CF8-8EEF-0CCB139CED6C
cast_32184,Q115676246,Q113995842,Q115676246-6a88b580-45ee-d6fc-1eb5-8bf65ee493da
cast_32185,Q1156769,Q1059767,Q1156769-E7EF539A-5520-49AE-993F-B3058524F7F0
cast_32186,Q1156769,Q1092091,q1156769-9E998937-449A-4DAD-8927-84749CD493E0
cast_32187,Q1156769,Q1200006,Q1156769-251C90AE-E2F1-4364-A78C-5A3663593222
cast_32188,Q1156769,Q2422834,q1156769-8F5E4C2E-56A3-4170-BE65-7A7849AA0E78
cast_32189,Q1156769,Q3543730,Q1156769-DFBB5062-E9B7-4BFF-B8FC-EFD630FB9B8E
cast_32190,Q1156769,Q4412009,q1156769-30BAC9C5-678D-4A50-94A3-D10F301D8E6C
cast_32191,Q115679705,Q15622307,Q115679705-3d269e36-4134-dc99-b4a4-1e21abc697d6
cast_32192,Q115679705,Q229477,Q115679705-04ec5921-443d-6aac-8a2c-bed0718b354a
cast_32193,Q115679705,Q232951,Q115679705-382077fa-41fd-7d66-9e97-fd69ef56721f
cast_32194,Q115679705,Q238628,Q115679705-cf53672d-4e20-3edb-dc8a-0e6e0f48e2a1
cast_32195,Q115679705,Q269686,Q115679705-9bb6b792-48cd-b396-9c97-bb6712f69a9a
cast_32196,Q115679705,Q448313,Q115679705-715d948c-4d20-a6bc-0a5f-6baeebe6db3f
cast_32197,Q115679705,Q6896444,Q115679705-f8cc709b-48bb-b988-5d2b-37ac6b18ffa0
cast_32198,Q115679705,Q722842,Q115679705-d5f16d23-47fb-cdd9-0076-5b36da7e35f5
cast_32199,Q115679705,Q983486,Q115679705-f28a1662-45a1-1859-b920-b63afd1a2bbf
cast_32200,Q1156830,Q1321271,q1156830-39C52C2B-ED7E-43B2-90B1-AF4E4940603C
cast_32201,Q1156830,Q139611,q1156830-3EDC20C5-EC8B-4344-B696-8D254C31233F
cast_32202,Q1156830,Q15456399,Q1156830-3933BE76-6A2C-45EE-B3FD-A8F8D59A2B81
cast_32203,Q1156830,Q15666053,Q1156830-BDF21CBA-BF21-4A59-8548-F4B5B2BE55C9
cast_32204,Q1156830,Q1800733,Q1156830-AA2B452B-C893-48D3-80B8-BD20F9749323
cast_32205,Q1156830,Q2240987,q1156830-F46D9483-BE57-4FEC-B708-1E554C6022EF
cast_32206,Q1156830,Q234299,q1156830-28782281-A619-4A98-8256-4AABC6F2B8DB
cast_32207,Q1156830,Q26213699,Q1156830-F3AAFD45-8CE4-4D58-B76F-BB797B157AF0
cast_32208,Q1156830,Q267400,q1156830-26E9A312-E43C-446F-B5A6-82ABACA13D85
cast_32209,Q1156830,Q2834731,Q1156830-ACD9B477-2440-44B6-9933-DEBB3F95E8D3
cast_32210,Q1156830,Q2895467,Q1156830-1094558A-D1AB-4AA3-A18A-8BFCDB98DCF4
cast_32211,Q1156830,Q28974275,Q1156830-3ecb5bc2-cea2-4b07-a02a-0defb73a36e9
cast_32212,Q1156830,Q311704,q1156830-0EA982BE-91EF-44CD-9A85-ABCEE23B0166
cast_32213,Q1156830,Q491775,q1156830-B3816665-2E0F-4B51-981D-42778375D192
cast_32214,Q1156830,Q552896,q1156830-89EE5A6D-CCA1-45E8-B547-958F4FAE0381
cast_32215,Q1156830,Q637063,q1156830-ED1FB15D-D8AF-493B-8D8E-01B753EF1BE2
cast_32216,Q1156830,Q7001736,q1156830-81F5D47A-1A19-4ABF-AF6D-7E54F9FA7765
cast_32217,Q1156830,Q74689,q1156830-C00B29CA-376E-4406-91A4-5955074FFC59
cast_32218,Q115686,Q15726975,Q115686-1D488274-3F99-46BA-8C9B-9AF7764D15CF
cast_32219,Q115686,Q16986448,Q115686-fa44a97a-4267-d685-59d0-739ca350e443
cast_32220,Q115686,Q16989291,Q115686-b11417d0-4be1-5091-f83a-8a739b3b9635
cast_32221,Q115686,Q2018222,Q115686-C3C23FF9-BD24-47FB-8E34-B915D6A70014
cast_32222,Q115686,Q3462630,Q115686-B0E70167-3B0F-4F91-8428-D5DEEC2BF74A
cast_32223,Q115686,Q454064,q115686-D30CDBDD-FFE2-4A16-81CD-1A7169AADF03
cast_32224,Q115686,Q5400386,Q115686-DEC0E795-8331-4CE8-A5BB-AFF3EDC1F09D
cast_32225,Q115691326,Q5564906,Q115691326-dc9b02b0-4bda-b150-9a3e-030180a02bf9
cast_32226,Q115691326,Q7193037,Q115691326-826896b5-407d-52ef-f431-cddc32b8480b
cast_32227,Q115691326,Q90955318,Q115691326-0c37e504-452c-7728-a3d0-24d55b840178
cast_32228,Q115691326,Q92468237,Q115691326-60aa8554-4378-9dc7-5116-33dac602af93
cast_32229,Q1156971,Q220901,q1156971-C7AE6E06-5038-481C-9ED1-BD9A9D80C89B
cast_32230,Q1156971,Q234080,q1156971-17DB962C-73C8-4081-ACE1-9AA3F174EB52
cast_32231,Q1156977,Q15586656,Q1156977-AF0EE929-2A4A-46D9-80F4-2862EF7DDE95
cast_32232,Q1156977,Q17402889,Q1156977-0D41F5E3-964C-4708-BD6E-CD6B98FF1ABD
cast_32233,Q1156977,Q1762270,Q1156977-3BE5365A-0F87-4D9F-AA3B-0B772146C8CB
cast_32234,Q1156977,Q230943,Q1156977-FC8CB665-81F2-4E6C-B930-2F5CA4E0DC2F
cast_32235,Q1156977,Q231648,q1156977-BF0033FC-7C5F-469F-AD3E-562BAD9E0F7E
cast_32236,Q1156977,Q2394970,Q1156977-4EAB9BEE-17B1-4177-BFDB-E1B765B7F077
cast_32237,Q1156977,Q3179612,Q1156977-A9DF83DD-7588-4CA1-83D2-0F312ACE7287
cast_32238,Q1156977,Q329719,q1156977-93BA37FF-E154-45D2-AE57-C20F3C8406FD
cast_32239,Q1156977,Q342604,q1156977-56992F4F-D331-4749-B3EC-EE257FA40FF8
cast_32240,Q1156977,Q4554586,q1156977-0A12D1C3-2A66-455B-B6C3-10D8AC79D141
cast_32241,Q1156977,Q534371,q1156977-0690C339-77E7-4BAE-B9FA-4507CD905CA3
cast_32242,Q1156977,Q926912,Q1156977-3689463B-4BA2-4905-B990-1BCAAEF0BCB0
cast_32243,Q1156977,Q953500,q1156977-A94769CC-6660-487B-9DE4-5D2782CC52CB
cast_32244,Q115697972,Q19832503,Q115697972-3154CED3-51ED-4CF6-B7C4-499F3A38A4F5
cast_32245,Q115697972,Q232933,Q115697972-03CF3484-5308-4D20-9FAC-2E7BF4262C32
cast_32246,Q115697972,Q235972,Q115697972-9320DA0B-95E4-4489-891E-196FCF9FD0BD
cast_32247,Q115697972,Q238628,Q115697972-98B5B5E6-57F1-48A7-8987-8DE46FAACC9C
cast_32248,Q115697972,Q239583,Q115697972-CD38EC9B-9293-436A-A5AF-B703B2BF2760
cast_32249,Q115697972,Q262454,Q115697972-C4E3F4B0-2164-4E15-B13F-58AE19A38DC5
cast_32250,Q115697972,Q266361,Q115697972-EC50C841-714B-4E16-9FA9-47E976111893
cast_32251,Q115697972,Q271846,Q115697972-3E394ECC-B256-4254-9D46-D55E842BF336
cast_32252,Q115697972,Q28732,Q115697972-18FF42AA-666A-4BD4-BD14-13D7A3F0368E
cast_32253,Q115697972,Q289518,Q115697972-7949005A-B20F-4A83-86D7-EE10F290E512
cast_32254,Q115697972,Q351849,Q115697972-7579B9AD-26D0-49DD-BAE9-AAE4F0E7D862
cast_32255,Q115697972,Q552085,Q115697972-37982BE1-1774-4BC3-8843-045207663DA2
cast_32256,Q115697972,Q554460,Q115697972-86354D2D-8A5B-4C1F-983A-EED941454871
cast_32257,Q115697972,Q62567391,Q115697972-98CEDBB0-8F3A-4D87-AE48-C730CBB7714B
cast_32258,Q115697972,Q6847791,Q115697972-95A87909-F4B7-45B3-BCEA-936DE898563E
cast_32259,Q1157039,Q499888,Q1157039-702158a9-4620-b2dd-9828-f9c8cacbef06
cast_32260,Q115705869,Q17415193,Q115705869-213ed9df-445e-88c5-5bb8-d1b871dd7438
cast_32261,Q115706415,Q16111349,Q115706415-6a9d70d0-e79d-4116-990f-1aff375dca60
cast_32262,Q115706415,Q368226,Q115706415-c3a144d6-4a30-40a4-acf5-a03ffd3fb936
cast_32263,Q115706415,Q73482850,Q115706415-84358e8d-e18d-4e33-8bf2-6735e49f4da7
cast_32264,Q115707175,Q100530406,Q115707175-f1e4e0b1-4c6c-d4c4-e65b-6234acdb9063
cast_32265,Q115707175,Q110778787,Q115707175-d6e769d5-4ba8-fc64-4149-288df393728f
cast_32266,Q115707175,Q11282528,Q115707175-1462c801-42a4-e330-c6b7-105a0042221e
cast_32267,Q115707175,Q115738839,Q115707175-59f2d15e-426f-ff44-d221-1113cd6a38c7
cast_32268,Q115707860,Q189351,Q115707860-03D3D25C-BA5A-4B18-9836-C4D262A74D5B
cast_32269,Q115707860,Q229176,Q115707860-ABAE170F-F05C-453D-8CA8-8969DACAB2F0
cast_32270,Q115707860,Q30072039,Q115707860-0987AAFE-5184-47EC-AF76-15C6D61FB18D
cast_32271,Q115707860,Q3342658,Q115707860-71D7BD17-01F8-4586-85BF-47174FE10FB5
cast_32272,Q115707860,Q532169,Q115707860-2878CDCA-E7D6-496C-934D-CC17AFB2BD2E
cast_32273,Q115707860,Q80938,Q115707860-8FE31A1D-1D09-4848-93C0-A1A927B9A267
cast_32274,Q1157117,Q106744,Q1157117-7eb22cad-4647-c376-05bd-30468d6f5ce7
cast_32275,Q1157117,Q11813973,Q1157117-a24802e4-4662-2511-fe55-c0c124037630
cast_32276,Q1157117,Q11901063,Q1157117-789a0ae7-4aa9-08ad-85b6-b28ed24f2ed4
cast_32277,Q1157117,Q120418,Q1157117-9d465752-4f15-4fe9-f440-1426d1978f65
cast_32278,Q1157117,Q179139,Q1157117-C143DB65-3674-44A3-85BB-3C2B39B79151
cast_32279,Q1157117,Q18018781,Q1157117-7718614c-4bee-5d4d-ecee-7f4a3aaef049
cast_32280,Q1157117,Q1817266,Q1157117-6e3d92cd-48c9-0134-a797-1451e4b607e9
cast_32281,Q1157117,Q2080205,Q1157117-9152b801-4b4f-913d-4774-b83a9d034db2
cast_32282,Q1157117,Q22074421,Q1157117-9a032837-4616-270d-c17d-f624a76f5f62
cast_32283,Q1157117,Q236275,Q1157117-31a87c31-4707-522b-df16-879a6e5356a9
cast_32284,Q1157117,Q2646866,Q1157117-6bf2c00e-41c5-ec69-ce6e-79037ad2f963
cast_32285,Q1157117,Q3179653,Q1157117-90b84a81-43d1-77dd-365f-b2f282555b3c
cast_32286,Q1157117,Q350376,Q1157117-9717af54-4c80-446c-f1f8-19d8d0a95599
cast_32287,Q1157117,Q3622882,Q1157117-97270da8-4a51-0819-82cb-e5338fda132e
cast_32288,Q1157117,Q374411,Q1157117-60428161-4f84-981f-c200-111d0aa2bf7f
cast_32289,Q1157117,Q3829330,Q1157117-211fc539-463b-2036-f280-2a03abd333f0
cast_32290,Q1157117,Q4263266,Q1157117-b34c58ed-419a-032f-c12f-20c752d969e0
cast_32291,Q1157117,Q546535,Q1157117-8f1351be-4cdc-337b-503b-5cb5e8ef20a3
cast_32292,Q1157117,Q64823,Q1157117-9831af7f-4b5d-42c4-e788-6690d4dfa511
cast_32293,Q1157117,Q6874395,Q1157117-62378c92-4aeb-ee85-f6f2-3f55ea2feb60
cast_32294,Q1157117,Q729572,Q1157117-c8d283ee-4c52-ae97-edfc-2d151ed9b9fc
cast_32295,Q1157117,Q76550,Q1157117-8c2a3d69-4ab2-7e8a-897f-1115fbe09c53
cast_32296,Q11571246,Q253882,Q11571246-ca2503bf-484b-f26a-2922-50e0970220ad
cast_32297,Q11571246,Q253909,Q11571246-1B1F07C4-3CCB-4A9C-A7C2-60A22F16D010
cast_32298,Q11571246,Q3544664,Q11571246-2F5705DA-3381-4546-BBE0-503ADF2FDB5B
cast_32299,Q11571246,Q3547893,Q11571246-90E92AED-FD84-489E-8CD7-50BBB2EC3993
cast_32300,Q11571246,Q464260,Q11571246-B9B44A9E-C5A5-4D92-ACCC-2F00F0F7BBB0
cast_32301,Q11571246,Q6455156,q11571246-FF5EA50A-6ED9-45FD-8C35-34174A207585
cast_32302,Q11571246,Q717819,Q11571246-B062A9D9-9218-47BC-8926-D6AD040B68DA
cast_32303,Q11571246,Q902782,Q11571246-1BA22215-E8E5-4F94-97EF-A0B386262749
cast_32304,Q1157177,Q2966537,Q1157177-A4474CE4-2256-4E9F-8244-93055C7C9076
cast_32305,Q1157177,Q3052362,q1157177-A6FAC9C2-0154-4AF7-B19C-AE499D49391F
cast_32306,Q1157177,Q3488256,q1157177-301E05A9-C498-470A-B051-318EC2E34B3C
cast_32307,Q1157177,Q5214161,Q1157177-020A85FF-BE03-4D19-A597-A77FD3FA69A8
cast_32308,Q1157177,Q924578,Q1157177-365AE4CA-867B-4907-AE2B-67D7EC0D847B
cast_32309,Q115730135,Q6067283,Q115730135-8c38ed30-43a2-1a91-b445-0a92add6336d
cast_32310,Q11573118,Q1134047,Q11573118-E8316905-A860-4B82-BD1B-2058839A8A7D
cast_32311,Q1157372,Q11704947,q1157372-a649daf4-9d1b-4682-a4e1-07f3d823e566
cast_32312,Q1157372,Q26202712,q1157372-54a885cc-6bb9-4ca2-8c7e-deb394452ab8
