movie_id,title,description,release_date,duration,year
Q100263944,Pornstar Athletics 2,2009 film by Bobby Manila,2009-11-25T00:00:00Z,118.0,2009
Q1004392,Forever Enthralled,2008 film by Chen Kaige,2009-07-02T00:00:00Z,150.0,2009
Q1004392,Forever Enthralled,2008 film by Chen Kaige,2009-04-16T00:00:00Z,150.0,2009
Q1004392,Forever Enthralled,2008 film by Chen Kaige,2009-04-11T00:00:00Z,150.0,2009
Q1004392,Forever Enthralled,2008 film by Chen Kaige,2009-04-09T00:00:00Z,150.0,2009
Q1004392,Forever Enthralled,2008 film by Chen Kaige,2009-02-19T00:00:00Z,150.0,2009
Q1004392,Forever Enthralled,2008 film by Chen Kaige,2009-01-01T00:00:00Z,150.0,2009
Q100744821,Killing Jews for German Health,2009 documentary film by Hannes Karnick and Wolfgang Richter,2009-12-03T00:00:00Z,89.0,2009
Q1008785,The Wings of the Night,2009 film by Serdar Akar,2009-01-01T00:00:00Z,,2009
Q1008801,Adhurs,2010 Telugu film directed by V. V. Vinayak,2009-01-01T00:00:00Z,,2009
Q1018109,The Butterfly Effect 3: Revelations,2009 film directed by Seth Grossman,2009-01-01T00:00:00Z,86.0,2009
Q1025973,Cairo Time,2009 film by Ruba Nadda,2009-10-09T00:00:00Z,90.0,2009
Q10267553,In Therapy,2009 film by José Alvarenga Júnior,2009-04-17T00:00:00Z,90.0,2009
Q1027387,Fighting,2009 film directed by Dito Montiel,2009-09-10T00:00:00Z,105.0,2009
Q1027387,Fighting,2009 film directed by Dito Montiel,2009-07-30T00:00:00Z,105.0,2009
Q1027387,Fighting,2009 film directed by Dito Montiel,2009-04-24T00:00:00Z,105.0,2009
Q1028548,Jonas Brothers: The 3D Concert Experience,2009 film by Bruce Hendricks,2009-02-27T00:00:00Z,76.0,2009
Q10290444,Ingenious,2009 film directed by Jeff Balsmeyer,2009-01-01T00:00:00Z,85.0,2009
Q10335947,Necrosis,2009 film by Jason Stephens,2009-01-01T00:00:00Z,90.0,2009
Q10339402,O Menino da Porteira,2009 film by Jeremias Moreira Filho,2009-01-01T00:00:00Z,94.0,2009
Q10340600,Blue Eyes,2009 film by José Joffily,2009-07-14T00:00:00Z,105.0,2009
Q10355903,Paulista,2009 film by Roberto Moreira,2009-10-02T00:00:00Z,83.0,2009
Q1036420,Under the Same Moon,2007 film by Patricia Riggen,2009-07-09T00:00:00Z,104.0,2009
Q10369009,If I Were You 2,2009 film by Daniel Filho,2009-01-02T00:00:00Z,98.0,2009
Q10369191,Second Life,2009 film,2009-01-29T00:00:00Z,84.0,2009
Q10373336,Sonhos Roubados,2009 film by Sandra Werneck,2009-09-25T00:00:00Z,85.0,2009
Q10374054,Star Crossed,2009 film by Mark Heller,2009-01-01T00:00:00Z,85.0,2009
Q10377861,Tainá: An Adventure in the Amazon,2000 film by Tânia Lamarca,2009-09-05T00:00:00Z,90.0,2009
Q1038530,Air Doll,2009 film by Hirokazu Koreeda,2009-09-26T00:00:00Z,125.0,2009
Q1038530,Air Doll,2009 film by Hirokazu Koreeda,2009-05-14T00:00:00Z,125.0,2009
Q10394447,Xuxa em O Mistério de Feiurinha,2009 film by Tizuka Yamasaki,2009-12-25T00:00:00Z,82.0,2009
Q1041472,A Million,2009 film directed by Cho Min-ho,2009-08-06T00:00:00Z,114.0,2009
Q1042247,The Message,2009 film directed by Chen Kuo-fu and Gao Qunshu,2009-01-01T00:00:00Z,118.0,2009
Q1044598,Departures,2008 film directed by Yōjirō Takita,2009-11-26T00:00:00Z,131.0,2009
Q1044598,Departures,2008 film directed by Yōjirō Takita,2009-06-19T00:00:00Z,131.0,2009
Q1044598,Departures,2008 film directed by Yōjirō Takita,2009-05-29T00:00:00Z,131.0,2009
Q1044859,Coco Before Chanel,2009 film by Anne Fontaine,2009-08-13T00:00:00Z,106.0,2009
Q1044859,Coco Before Chanel,2009 film by Anne Fontaine,2009-06-25T00:00:00Z,106.0,2009
Q1044859,Coco Before Chanel,2009 film by Anne Fontaine,2009-04-22T00:00:00Z,106.0,2009
Q1046883,The King of Fighters,2010 film directed by Gordon Chan,2009-12-31T00:00:00Z,93.0,2009
Q10482166,Emellan,2009 film,2009-01-01T00:00:00Z,,2009
Q1048360,The Visitor,2007 film by Thomas McCarthy,2009-02-12T00:00:00Z,104.0,2009
Q104884519,Five Miles Out,2009 short film by Andrew Haigh,2009-01-01T00:00:00Z,18.0,2009
Q104895103,Someone Down There Likes Me,2009 film directed by Roman Vojkůvka,2009-01-01T00:00:00Z,120.0,2009
Q104895138,El Paso,film directed by Zdeněk Tyc,2009-01-01T00:00:00Z,100.0,2009
Q104895270,Foxes,film directed by Mira Fornay,2009-01-01T00:00:00Z,90.0,2009
Q104895390,The Tango with Mosquitos,film directed by Miloslav Luther,2009-01-01T00:00:00Z,97.0,2009
Q104895456,Aljona,film directed by Jaroslav Brabec,2009-01-01T00:00:00Z,95.0,2009
Q104895514,Jménem krále,film directed by Petr Nikolaev,2009-01-01T00:00:00Z,77.0,2009
Q104895595,The Slave Huntress 2,film directed by Lloyd A. Simandl,2009-01-01T00:00:00Z,89.0,2009
Q104895733,Trabantem Hedvábnou stezkou,film directed by Dan Přibáň,2009-01-01T00:00:00Z,57.0,2009
Q104898836,The Eye,2009 film directed by Miloš J. Kohout,2009-01-01T00:00:00Z,100.0,2009
Q1050065,REC 2,2009 Spanish horror film,2009-10-23T00:00:00Z,85.0,2009
Q1050065,REC 2,2009 Spanish horror film,2009-10-02T00:00:00Z,85.0,2009
Q1052975,Cell 211,2009 film by Daniel Monzón,2009-09-04T00:00:00Z,110.0,2009
Q10533236,In Your Veins,2009 film directed by Beata Gårdeler,2009-01-01T00:00:00Z,92.0,2009
Q10540367,Johan Falk: De fredlösa,2009 film by Daniel Lind Lagerlöf,2009-11-04T00:00:00Z,94.0,2009
Q10540368,Johan Falk: Leo Gaut,2009 film by Richard Holm,2009-01-01T00:00:00Z,92.0,2009
Q10540369,Johan Falk: National Target,2009 film by Richard Holm,2009-10-07T00:00:00Z,95.0,2009
Q10540372,Johan Falk: Organizatsija Karayan,2009 film by Anders Nilsson,2009-09-23T00:00:00Z,,2009
Q10540373,Johan Falk: Operation Näktergal,2009 film by Daniel Lind Lagerlöf,2009-01-01T00:00:00Z,90.0,2009
Q1054369,Night and Fog,2009 film by Ann Hui,2009-01-01T00:00:00Z,122.0,2009
Q1055695,Overheard,2009 Hong Kong film,2009-01-01T00:00:00Z,100.0,2009
Q1055906,The Perfect Game,2009 film by William Dear,2009-03-21T00:00:00Z,157.0,2009
Q1057524,Kung Fu Cyborg,2009 film by Jeffrey Lau,2009-01-01T00:00:00Z,102.0,2009
Q1057720,Mega Monster Battle: Ultra Galaxy,2009 film by Koichi Sakamoto,2009-12-12T00:00:00Z,96.0,2009
Q1057852,Permanent Residence,2009 Hong Kong film directed by Scud,2009-01-01T00:00:00Z,115.0,2009
Q1059450,Letters to Father Jacob,2009 film directed by Klaus Härö,2009-01-01T00:00:00Z,74.0,2009
Q1059522,Boogeyman 3,2009 film by Gary Jones,2009-01-30T00:00:00Z,94.0,2009
Q106044096,The Stranger,2009 Italian film,2009-01-01T00:00:00Z,110.0,2009
Q10608982,True Noon,2009 Tajik film,2009-01-01T00:00:00Z,83.0,2009
Q10611490,Original,2009 film by Antonio Tublén,2009-04-17T00:00:00Z,104.0,2009
Q1061541,A Prophet,2009 film by Jacques Audiard,2009-11-12T00:00:00Z,150.0,2009
Q1061541,A Prophet,2009 film by Jacques Audiard,2009-05-16T00:00:00Z,150.0,2009
Q1061749,Chandni Chowk to China,2009 film by Nikhil Advani,2009-01-15T00:00:00Z,154.0,2009
