movie_id,title,description,release_date,duration,year
Q100148104,Ratnik,2020 Nigerian film directed by Dimeji Ajibola,2020-12-01T00:00:00Z,,2020
Q100227242,A Perfect Enemy,2020 film directed by Kike Maíllo,2020-10-16T00:00:00Z,90.0,2020
Q100232971,What We Wanted,2020 film by Ulrike Kofler,2020-11-06T00:00:00Z,93.0,2020
Q100252108,Narcissus Off Duty,2020 Brazilian documentary,2020-09-07T00:00:00Z,84.0,2020
Q100255627,Forgotten Christmas,2019 film by Andrea Eckerbom,2020-12-16T00:00:00Z,70.0,2020
Q100255627,Forgotten Christmas,2019 film by Andrea Eckerbom,2020-11-12T00:00:00Z,70.0,2020
Q100255627,Forgotten Christmas,2019 film by Andrea Eckerbom,2020-01-02T00:00:00Z,70.0,2020
Q100255759,Alelí,2019 film directed by Leticia Jorge,2020-03-05T00:00:00Z,88.0,2020
Q100257336,Deadly Illusions,2020 Russian film,2020-11-19T00:00:00Z,108.0,2020
Q100257527,Are We Lost Forever,2020 Swedish film by David Färdmar,2020-01-01T00:00:00Z,104.0,2020
Q100261459,ٌThe Black Box,2020 film,2020-10-28T00:00:00Z,90.0,2020
Q100265988,Black Box,2020 film directed by Emmanuel Osei-Kuffour Jr.,2020-10-06T00:00:00Z,101.0,2020
Q100269546,Dreamchild,2020 film directed by Raphaël Jacoulot,2020-01-01T00:00:00Z,107.0,2020
Q100276888,Slalom,2020 film by Charlène Favier,2020-08-29T00:00:00Z,92.0,2020
Q100324181,Aline,2020 film directed by Valérie Lemercier,2020-10-04T00:00:00Z,123.0,2020
Q100349419,Home,2020 film directed by Franka Potente,2020-10-20T00:00:00Z,100.0,2020
Q100361355,I Met a Girl,2020 film directed by Luke Eve,2020-11-26T00:00:00Z,108.0,2020
Q100361355,I Met a Girl,2020 film directed by Luke Eve,2020-10-28T00:00:00Z,108.0,2020
Q100361355,I Met a Girl,2020 film directed by Luke Eve,2020-09-11T00:00:00Z,108.0,2020
Q100401223,Eia's Christmas at Phantom Owl Farm,2018 film by Anu Aun,2020-12-01T00:00:00Z,90.0,2020
Q100450102,Mica,2020 Moroccan film,2020-01-01T00:00:00Z,103.0,2020
Q100450102,Mica,2020 Moroccan film,2020-01-01T00:00:00Z,104.0,2020
Q100489991,Deeper!,2020 film directed by Mikhail Segal,2020-01-01T00:00:00Z,109.0,2020
Q100506077,Dry Wind,2020 film directed by Daniel Nolasco,2020-02-26T00:00:00Z,110.0,2020
Q100532928,Come True,2020 film directed by Anthony Scott Burns,2020-01-01T00:00:00Z,105.0,2020
Q100573244,The Big Hit,2020 film by Emmanuel Courcol,2020-08-28T00:00:00Z,105.0,2020
Q100573244,The Big Hit,2020 film by Emmanuel Courcol,2020-08-28T00:00:00Z,107.0,2020
Q100604555,Nelly Rapp – Monsteragent,2020 film by Amanda Adolfsson,2020-10-23T00:00:00Z,92.0,2020
Q100606376,Angels Fallen,2020 film directed by Ali Zamani,2020-01-14T00:00:00Z,86.0,2020
Q100613366,David Attenborough: A Life on Our Planet,2020 documentary film,2020-10-04T00:00:00Z,,2020
Q100683417,Samjin Company English Class,2020 film directed by Lee Jong-pil,2020-10-21T00:00:00Z,110.0,2020
Q100699177,The Evil Next Door,2020 film directed by Oskar Mellander and Tord Danielsson,2020-10-23T00:00:00Z,87.0,2020
Q100699177,The Evil Next Door,2020 film directed by Oskar Mellander and Tord Danielsson,2020-01-01T00:00:00Z,87.0,2020
Q100699177,The Evil Next Door,2020 film directed by Oskar Mellander and Tord Danielsson,2020-10-23T00:00:00Z,88.0,2020
