movie_id,title,description,release_date,duration,year
Q1007629,Golimaar,2010 film by Puri Jagannadh,2010-05-27T00:00:00Z,,2010
Q1008785,The Wings of the Night,2009 film by Serdar Akar,2010-03-04T00:00:00Z,,2010
Q1008801,Adhurs,2010 Telugu film directed by V. V. Vinayak,2010-01-01T00:00:00Z,,2010
Q1010058,Simha,2010 film by Boyapati Srinu,2010-04-30T00:00:00Z,,2010
Q1010071,Rakta Charitra,2010 film directed by Ram Gopal Varma,2010-01-01T00:00:00Z,,2010
Q1010082,Jhummandi Naadam,2010 film by K. Raghavendra Rao,2010-07-01T00:00:00Z,,2010
Q1010104,Khaleja,2010 film by Trivikram Srinivas,2010-10-07T00:00:00Z,170.0,2010
Q101247441,Ahmed Gassiaux,Moroccan film 2010,2010-01-01T00:00:00Z,77.0,2010
Q1016369,Burke & Hare,2010 film directed by John Landis,2010-10-29T00:00:00Z,91.0,2010
Q1016790,Burning Bright,2010 film directed by Carlos Brooks,2010-01-01T00:00:00Z,86.0,2010
Q101854947,Ditching Party,2010 film directed by Demetrius Navarro,2010-01-01T00:00:00Z,,2010
Q1024664,Cash,2010 film directed by Stephen Milburn Anderson,2010-01-01T00:00:00Z,108.0,2010
Q1025721,Caged,2010 film directed by Yann Gozlan,2010-10-06T00:00:00Z,84.0,2010
Q10262415,Curitiba Zero Grau,2010 film by Eloi Pires Ferreira,2010-10-04T00:00:00Z,105.0,2010
Q1026875,I Hate Luv Storys,2010 film by Punit Malhotra,2010-01-01T00:00:00Z,135.0,2010
Q10272103,Elvis & Madona,2010 film,2010-03-28T00:00:00Z,105.0,2010
Q10280016,Fantasia Lusitana,2010 film by João Canijo,2010-01-01T00:00:00Z,65.0,2010
Q10280514,Federal,2010 film by Erik de Castro,2010-09-26T00:00:00Z,91.0,2010
Q10282323,Filme do Desassossego,2010 film by João Botelho,2010-01-01T00:00:00Z,90.0,2010
Q10283120,Women in Temptation,2010 film by Jiří Vejdělek,2010-03-18T00:00:00Z,112.0,2010
Q10289358,Getting Levi's Johnson,2010 pornographic film directed by Chris Steele,2010-01-01T00:00:00Z,,2010
Q1029345,Man of Vendetta,2010 South Korean film directed by Woo Min-ho,2010-07-01T00:00:00Z,110.0,2010
Q10338390,Não Se Pode Viver Sem Amor,2010 film by Jorge Durán,2010-01-01T00:00:00Z,100.0,2010
Q10356290,The Two Deaths of Quincas Wateryell,2010 film by Sérgio Machado,2010-04-26T00:00:00Z,102.0,2010
Q10371101,Shit Year,2010 film by Cam Archer,2010-05-15T00:00:00Z,95.0,2010
Q10371101,Shit Year,2010 film by Cam Archer,2010-01-01T00:00:00Z,95.0,2010
Q10373336,Sonhos Roubados,2009 film by Sandra Werneck,2010-01-01T00:00:00Z,85.0,2010
Q10388570,VIPs,2010 film,2010-09-25T00:00:00Z,96.0,2010
Q10397385,7X: This is Our Kids,2010 film,2010-02-03T00:00:00Z,98.0,2010
Q1041743,An Invisible Sign,2010 film directed by Marilyn Agrelo,2010-10-07T00:00:00Z,96.0,2010
Q10437051,Bröderna Karlsson,2010 film by Kjell Sundvall,2010-01-01T00:00:00Z,100.0,2010
Q1046883,The King of Fighters,2010 film directed by Gordon Chan,2010-08-31T00:00:00Z,93.0,2010
Q1046883,The King of Fighters,2010 film directed by Gordon Chan,2010-01-01T00:00:00Z,93.0,2010
Q104774429,Domina,film directed by Jiří Svoboda,2010-01-01T00:00:00Z,102.0,2010
Q1048360,The Visitor,2007 film by Thomas McCarthy,2010-01-14T00:00:00Z,104.0,2010
Q104895810,H.R. Giger Revealed,2010 film directed by David N. Jahn,2010-01-01T00:00:00Z,52.0,2010
Q104895843,One Way Ticket,film directed by Tomáš Řehořek,2010-01-01T00:00:00Z,80.0,2010
Q104895950,"Jses mrtvej, tak nebrec!",film directed by Jitka Němcová,2010-01-01T00:00:00Z,78.0,2010
Q104895962,Rodinka,film directed by Dušan Klein,2010-01-01T00:00:00Z,90.0,2010
Q10500607,Four more years,2010 film by Tova Magnusson,2010-11-26T00:00:00Z,90.0,2010
Q1050065,REC 2,2009 Spanish horror film,2010-04-22T00:00:00Z,85.0,2010
Q1050720,Happythankyoumoreplease,2010 film by Josh Radnor,2010-01-20T00:00:00Z,92.0,2010
Q1050729,Caterpillar,2010 film directed by Kōji Wakamatsu,2010-02-15T00:00:00Z,85.0,2010
Q1053770,Villain,2010 film by Lee Sang-il,2010-01-01T00:00:00Z,139.0,2010
Q10547354,Kommissarie Späck,2010 film by Fredde Granberg,2010-06-04T00:00:00Z,82.0,2010
Q1055069,Cold Fish,2010 film by Sion Sono,2010-09-07T00:00:00Z,146.0,2010
Q1057580,Just Another Pandora's Box,2010 film by Jeffrey Lau,2010-03-18T00:00:00Z,92.0,2010
Q1057794,The Big Bang,2011 film by Tony Krantz,2010-01-01T00:00:00Z,101.0,2010
Q1059303,Janie Jones,2010 American film by David M. Rosenthal,2010-01-01T00:00:00Z,107.0,2010
Q1061541,A Prophet,2009 film by Jacques Audiard,2010-03-11T00:00:00Z,150.0,2010
Q10641435,Psalm 21,2010 film by Fredrik Hiller,2010-01-01T00:00:00Z,114.0,2010
Q10651129,Stay Down!,2010 film by Richard Jarnhed,2010-01-01T00:00:00Z,,2010
