movie_id,title,description,release_date,duration,year
Q10264518,De Pernas pro Ar 2,2012 film by Roberto Santucci,2012-12-28T00:00:00Z,99.0,2012
Q1026470,Beverly Hills Chihuahua 3: Viva la Fiesta!,2012 film directed by Lev L. Spiro,2012-09-27T00:00:00Z,89.0,2012
Q1026470,Beverly Hills Chihuahua 3: Viva la Fiesta!,2012 film directed by Lev L. Spiro,2012-09-03T00:00:00Z,89.0,2012
Q10265719,Destiny Road,2012 film,2012-01-01T00:00:00Z,102.0,2012
Q1026647,The Baytown Outlaws,2012 film by Barry Battles,2012-01-01T00:00:00Z,98.0,2012
Q1026872,The Paperboy,2012 film by Lee Daniels,2012-05-24T00:00:00Z,101.0,2012
Q10269870,Did You Score?,2012 film by Felipe Joffily,2012-01-01T00:00:00Z,100.0,2012
Q102892478,The Child Sheikh,2012 film by Hamid Benani,2012-01-15T00:00:00Z,80.0,2012
Q10290528,Gonzaga — de Pai pra Filho,2012 film by Breno Silveira,2012-10-26T00:00:00Z,120.0,2012
Q1029212,Bernie,2011 film directed by Richard Linklater,2012-12-13T00:00:00Z,104.0,2012
Q1033136,Declaration of War,2011 film by Valérie Donzelli,2012-04-26T00:00:00Z,100.0,2012
Q1033136,Declaration of War,2011 film by Valérie Donzelli,2012-04-05T00:00:00Z,100.0,2012
Q1033185,Paradise: Love,2012 film directed by Ulrich Seidl,2012-10-18T00:00:00Z,120.0,2012
Q1033185,Paradise: Love,2012 film directed by Ulrich Seidl,2012-05-18T00:00:00Z,120.0,2012
Q10344758,Artificial Paradises,2012 film by Marcos Prado,2012-05-04T00:00:00Z,96.0,2012
Q10344758,Artificial Paradises,2012 film by Marcos Prado,2012-01-01T00:00:00Z,96.0,2012
Q10350380,Black-Eyed Dog,2012 film,2012-01-01T00:00:00Z,,2012
Q1035158,Captive,2012 film by Brillante Mendoza,2012-02-12T00:00:00Z,120.0,2012
Q10359018,Reis e Ratos,2012 film by Mauro Lima,2012-01-01T00:00:00Z,111.0,2012
Q104161925,Lima 13,2012 film directed by Fabrizio Aguilar,2012-01-01T00:00:00Z,86.0,2012
Q104186678,Awesome Abbie Returns,2012 pornographic scene by DDF Network,2012-02-15T00:00:00Z,1887.0,2012
Q10430161,Bitch Hug,2012 film by Andreas Öhman,2012-10-19T00:00:00Z,101.0,2012
Q104767333,Marcelo,2012 Mexican film,2012-01-01T00:00:00Z,97.0,2012
Q104896244,The Treasure,film directed by Vít Karas,2012-01-01T00:00:00Z,85.0,2012
Q104896264,Cold Sunday,film directed by Ivan Pokorný,2012-01-01T00:00:00Z,92.0,2012
Q104896284,Muj vysvlecenej denik,film directed by Martin Dolenský,2012-01-01T00:00:00Z,90.0,2012
Q104896287,The Holy Quaternity,film directed by Jan Hřebejk,2012-01-01T00:00:00Z,78.0,2012
Q104896377,Stín smrtihlava,2012 film directed by Georgis Agathonikiadis,2012-01-01T00:00:00Z,86.0,2012
Q104896381,Vera 68,film directed by Olga Sommerová,2012-05-03T00:00:00Z,91.0,2012
Q104896744,Defiant Requiem,2012 film directed by Doug Shultz,2012-01-01T00:00:00Z,85.0,2012
Q1049480,This Means War,2012 film directed by McG,2012-03-01T00:00:00Z,97.0,2012
Q1049480,This Means War,2012 film directed by McG,2012-02-23T00:00:00Z,97.0,2012
Q1049480,This Means War,2012 film directed by McG,2012-02-14T00:00:00Z,97.0,2012
Q10496806,Flimmer,2012 film by Patrik Eklund,2012-01-31T00:00:00Z,100.0,2012
Q10516771,Agent Hamilton - But Not If It Concerns Your Daughter,2012 film directed by Tobias Falk,2012-09-07T00:00:00Z,90.0,2012
Q10518419,Hassel - Privatspanarna,2012 film by Måns Månsson,2012-11-09T00:00:00Z,74.0,2012
Q10534834,In Their Skin,2012 film by Jeremy Power Regimbal,2012-01-01T00:00:00Z,97.0,2012
Q10540363,Johan Falk: Barninfiltratören,2012 film by Richard Holm,2012-10-12T00:00:00Z,93.0,2012
Q10540364,Johan Falk: Spelets regler,2012 film by Charlotte Brändström,2012-09-14T00:00:00Z,96.0,2012
Q10540365,Johan Falk: Organizatsija Karayan,2012 film by Richard Holm,2012-10-05T00:00:00Z,97.0,2012
Q10542056,Jävla pojkar,2012 film by Shaker K. Tahrer,2012-04-13T00:00:00Z,81.0,2012
Q10544366,Katinkas kalas,2012 film by Levan Akin,2012-01-01T00:00:00Z,105.0,2012
Q10551011,High Rise Life - The Movie,2012 film by Mikael Syrén,2012-03-16T00:00:00Z,84.0,2012
Q1057015,Taken 2,2012 film by Olivier Megaton,2012-10-11T00:00:00Z,98.0,2012
Q1057015,Taken 2,2012 film by Olivier Megaton,2012-10-05T00:00:00Z,98.0,2012
Q1057015,Taken 2,2012 film by Olivier Megaton,2012-10-04T00:00:00Z,98.0,2012
Q1057015,Taken 2,2012 film by Olivier Megaton,2012-10-03T00:00:00Z,98.0,2012
Q105707697,Columbarium,2012 film directed by Steve Kerr,2012-08-05T00:00:00Z,86.0,2012
Q10571193,Good Luck. And Take Care of Each Other,2012 film by Jens Sjögren,2012-10-19T00:00:00Z,100.0,2012
Q1057433,Fire with Fire,2012 American film by David Barrett,2012-08-31T00:00:00Z,97.0,2012
Q105810893,6 Month Rule,2012 film directed by Blayne Weaver,2012-01-01T00:00:00Z,100.0,2012
Q1058489,Sadako 3D,2012 film directed by Tsutomu Hanabusa,2012-05-12T00:00:00Z,96.0,2012
Q1058904,Bread of Happiness,2012 film by Yukiko Mishima,2012-01-21T00:00:00Z,114.0,2012
Q1059146,Kueki Ressha,2012 film by Nobuhiro Yamashita,2012-07-14T00:00:00Z,112.0,2012
Q1059416,Beyond Outrage,2012 film by Takeshi Kitano,2012-10-06T00:00:00Z,110.0,2012
Q1059416,Beyond Outrage,2012 film by Takeshi Kitano,2012-09-03T00:00:00Z,110.0,2012
Q1059435,Keep the Lights On,2012 film by Ira Sachs,2012-10-25T00:00:00Z,101.0,2012
Q1059435,Keep the Lights On,2012 film by Ira Sachs,2012-01-01T00:00:00Z,101.0,2012
Q1059540,Caesar Must Die,"2012 film by Paolo Taviani, Vittorio Taviani",2012-12-27T00:00:00Z,76.0,2012
Q1059540,Caesar Must Die,"2012 film by Paolo Taviani, Vittorio Taviani",2012-02-11T00:00:00Z,76.0,2012
Q1059733,Like Someone in Love,2012 film by Abbas Kiarostami,2012-10-10T00:00:00Z,109.0,2012
Q1059733,Like Someone in Love,2012 film by Abbas Kiarostami,2012-09-15T00:00:00Z,109.0,2012
Q1059733,Like Someone in Love,2012 film by Abbas Kiarostami,2012-04-11T00:00:00Z,109.0,2012
Q1060517,ATM,2012 film by David Brooks,2012-02-17T00:00:00Z,90.0,2012
Q10638747,Prime Time,2012 film by Agneta Fagerström-Olsson,2012-01-01T00:00:00Z,89.0,2012
Q106574558,Le Professeur,2012 film by Mahmoud Ben Mahmoud,2012-11-16T00:00:00Z,,2012
Q10667139,Shoo bre,2012 film,2012-01-01T00:00:00Z,86.0,2012
Q10671338,Dead or Alive 1918,2012 film by Claes Olsson,2012-03-23T00:00:00Z,70.0,2012
Q106718731,Out of the Darkness,2011 documentary film by Stefano Levi,2012-03-29T00:00:00Z,,2012
Q106718771,The Real American - Joe McCarthy,2011 documentary film by Lutz Hachmeister,2012-01-12T00:00:00Z,98.0,2012
Q106718824,Sleepless Knights,film,2012-01-01T00:00:00Z,82.0,2012
Q106718877,Pension Freiheit,2012 film directed by Markus Kleinhans,2012-04-26T00:00:00Z,94.0,2012
Q106718877,Pension Freiheit,2012 film directed by Markus Kleinhans,2012-01-01T00:00:00Z,94.0,2012
Q10673442,Just Like Zorro,2011 film by Linda-Maria Birbeck,2012-01-28T00:00:00Z,29.0,2012
Q10682405,Studio Sex,2012 film by Agneta Fagerström-Olsson,2012-01-01T00:00:00Z,89.0,2012
Q10683877,The Anderssons in Greece,2012 film directed by Hannes Holm,2012-12-25T00:00:00Z,95.0,2012
Q106947973,Reel Evil,2012 film by Danny Draven,2012-12-04T00:00:00Z,78.0,2012
Q10699140,I Have to Buy New Shoes,2012 film by Eriko Kitagawa,2012-10-06T00:00:00Z,115.0,2012
Q1070339,About Cherry,2012 film by Stephen Elliott,2012-02-01T00:00:00Z,102.0,2012
Q10716445,Wither,2012 film,2012-01-01T00:00:00Z,95.0,2012
Q107208626,Feed Me with Your Words,2012 film directed by Martin Turk,2012-01-01T00:00:00Z,88.0,2012
Q10726561,3 A.M. 3D,2012 film,2012-11-22T00:00:00Z,,2012
Q107272601,The Lithium Conspiracy,2012 film by Davide Marengo,2012-01-01T00:00:00Z,104.0,2012
Q1073800,Chinese Take-Away,2011 film by Sebastián Borensztein,2012-01-05T00:00:00Z,93.0,2012
Q107589360,This Bitter Earth,2012 film directed by David Lee Rawlings,2012-12-01T00:00:00Z,76.0,2012
Q1076380,Beast Stalker,2008 Hong Kong film directed by Dante Lam,2012-04-07T00:00:00Z,109.0,2012
Q10831867,Miss Farkku-Suomi,2012 film by Matti Kinnunen,2012-08-03T00:00:00Z,,2012
Q10831867,Miss Farkku-Suomi,2012 film by Matti Kinnunen,2012-06-16T00:00:00Z,,2012
Q10863615,Zombie 108,2012 film directed by Joe Chien,2012-01-01T00:00:00Z,83.0,2012
Q10863830,The Sino-Japanese War at Sea 1894,2012 film by Feng Xiaoning,2012-01-01T00:00:00Z,,2012
Q10865250,All for Love,2012 film by Jiang Ping,2012-01-01T00:00:00Z,,2012
Q1087883,Chronicle,2012 film by Josh Trank,2012-04-19T00:00:00Z,83.0,2012
Q1087883,Chronicle,2012 film by Josh Trank,2012-03-01T00:00:00Z,83.0,2012
Q1087883,Chronicle,2012 film by Josh Trank,2012-02-03T00:00:00Z,83.0,2012
Q1087883,Chronicle,2012 film by Josh Trank,2012-01-28T00:00:00Z,83.0,2012
Q1089245,Escape,2012 film directed by Paul Emami,2012-01-01T00:00:00Z,90.0,2012
Q1089256,Concrete Blondes,2012 film,2012-01-01T00:00:00Z,92.0,2012
Q109018481,Christmas Miracle,2012 film directed by Terry Ingram,2012-10-12T00:00:00Z,92.0,2012
Q1090390,This Is 40,2012 film by Judd Apatow,2012-12-20T00:00:00Z,134.0,2012
Q10918782,Mariachi Gringo,2012 film,2012-03-02T00:00:00Z,107.0,2012
Q10923591,Lan Kwai Fong 2,2012 film,2012-01-01T00:00:00Z,,2012
Q10942754,Bad Girls,2012 film directed by Seven Wong,2012-01-01T00:00:00Z,81.0,2012
Q10944005,Marry a Perfect Man,2012 film by Wong Jing,2012-01-01T00:00:00Z,,2012
Q10958628,Girls Gone Dead,2012 film directed by Michael Hoffman Jr. and Aaron T. Wells,2012-03-28T00:00:00Z,127.0,2012
Q1096935,Indie Game: The Movie,2012 film,2012-01-20T00:00:00Z,94.0,2012
Q1100064,Compliance,2012 Craig Zobel film,2012-01-21T00:00:00Z,90.0,2012
Q110149731,Poker Face,2012 film directed by Christos Dimas,2012-05-01T00:00:00Z,95.0,2012
Q110231122,The Bossé Empire,2012 film directed by Claude Desrosiers,2012-03-12T00:00:00Z,95.0,2012
Q1103569,A Thousand Words,2012 film by Brian Robbins,2012-06-21T00:00:00Z,91.0,2012
Q1103569,A Thousand Words,2012 film by Brian Robbins,2012-03-09T00:00:00Z,91.0,2012
Q110490808,Tigers in the city,2012 film directed by Juraj Krasnohorský,2012-01-01T00:00:00Z,,2012
Q11057812,Giant God Warrior Appears in Tokyo,2012 film by Shinji Higuchi,2012-07-10T00:00:00Z,10.0,2012
Q11060626,Bastardi 3,2012 film by Tomáš Magnusek,2012-09-20T00:00:00Z,97.0,2012
Q11073304,The Second Woman,2012 film,2012-01-01T00:00:00Z,102.0,2012
Q11073852,The Soul of the Bread,2012 Taiwanese film,2012-01-01T00:00:00Z,114.0,2012
Q110831228,The Cage Door Is Always Open,documentary film,2012-09-25T00:00:00Z,,2012
Q110871135,Verde verde,2012 film directed by Enrique Pineda,2012-01-01T00:00:00Z,90.0,2012
Q11088774,Love in the Buff,2012 film by Pang Ho-cheung,2012-03-21T00:00:00Z,112.0,2012
Q11095077,Design Of Death,film directed by Guan Hu,2012-01-01T00:00:00Z,109.0,2012
Q1111576,Elles,2011 film by Małgorzata Szumowska,2012-03-29T00:00:00Z,94.0,2012
Q1111576,Elles,2011 film by Małgorzata Szumowska,2012-03-01T00:00:00Z,94.0,2012
Q11129569,The Last Death,2011 film directed by David Ruiz,2012-01-27T00:00:00Z,104.0,2012
Q111902710,Vampyre Nation,2012 film directed by Todor Chapkanov,2012-01-01T00:00:00Z,82.0,2012
Q1121091,Forgotten,2012 film by Alex Schmidt,2012-12-20T00:00:00Z,101.0,2012
Q1121091,Forgotten,2012 film by Alex Schmidt,2012-01-01T00:00:00Z,101.0,2012
Q11216402,Nameless Gangster,2012 film by Yoon Jong-bin,2012-01-01T00:00:00Z,134.0,2012
Q112177101,La película de Ana,2012 film directed by Daniel Díaz Torres,2012-01-01T00:00:00Z,157.0,2012
Q11221816,Porcelain Horse,2012 film,2012-01-01T00:00:00Z,100.0,2012
Q11222566,Jakarta Hati,2012 film by Salman Aristo,2012-11-08T00:00:00Z,114.0,2012
Q11223353,Nidra,2012 film by Sidharth Bharathan,2012-02-24T00:00:00Z,,2012
Q11224389,Love Sick Love,2012 film directed by Christian Charles,2012-01-01T00:00:00Z,83.0,2012
Q11241311,Horror Stories,2012 film by Min Gyu-dong,2012-07-25T00:00:00Z,108.0,2012
Q112435130,Blackout,US miniseries,2012-06-19T00:00:00Z,,2012
Q112461,Dolu,2012 film by Elkhan Jafarov,2012-08-02T00:00:00Z,,2012
Q11268003,Husbands in Goa,2012 film by Saji Surendran,2012-01-01T00:00:00Z,,2012
Q11269944,"Sue, Mai & Sawa: Righting the Girl Ship",2012 film by Osamu Minorikawa,2012-01-01T00:00:00Z,106.0,2012
Q11274500,Bayside Shakedown The Final,2012 film by Katsuyuki Motohiro,2012-09-07T00:00:00Z,126.0,2012
