movie_id,title,description,release_date,duration,year
Q100148067,Coming from Insanity,2019 Nigerian film,2019-06-14T00:00:00Z,100.0,2019
Q100255627,Forgotten Christmas,2019 film by Andrea Eckerbom,2019-12-20T00:00:00Z,70.0,2019
Q100255627,Forgotten Christmas,2019 film by Andrea Eckerbom,2019-12-19T00:00:00Z,70.0,2019
Q100255627,Forgotten Christmas,2019 film by Andrea Eckerbom,2019-11-08T00:00:00Z,70.0,2019
Q100401223,Eia's Christmas at Phantom Owl Farm,2018 film by Anu Aun,2019-12-06T00:00:00Z,90.0,2019
Q100401223,Eia's Christmas at Phantom Owl Farm,2018 film by Anu Aun,2019-12-05T00:00:00Z,90.0,2019
Q100490548,Between Heaven and Earth,2019 film by Najwa Najjar,2019-01-01T00:00:00Z,92.0,2019
Q100535001,Cat in the Wall,2019 film by Vesela Kazakova and Mina Mileva,2019-01-01T00:00:00Z,92.0,2019
Q100558146,Echo,2019 film by Rúnar Rúnarsson,2019-01-01T00:00:00Z,79.0,2019
Q100564447,Motherland,2019 film by Tomas Vengris,2019-01-01T00:00:00Z,97.0,2019
Q100604559,Levi,2019 Nigerian film directed by Okechukwu Oku,2019-01-18T00:00:00Z,,2019
Q100700071,Diamonds in the Sky,2018 Nigerian movie,2019-01-01T00:00:00Z,,2019
Q100718251,Full Moon,2019 film by Nermin Hamzagić,2019-01-01T00:00:00Z,85.0,2019
Q100721048,Isaac,2019 film by Jurgis Matulevičius,2019-01-01T00:00:00Z,104.0,2019
Q100931010,Aznavour by Charles,2019 film directed by Marc di Domenico,2019-11-01T00:00:00Z,83.0,2019
Q100931010,Aznavour by Charles,2019 film directed by Marc di Domenico,2019-10-02T00:00:00Z,83.0,2019
Q101046574,Salir del ropero,2019 film directed by Ángeles Reiné,2019-01-01T00:00:00Z,94.0,2019
Q101072559,Outlaw,Russian queer drama (2019),2019-01-01T00:00:00Z,,2019
Q101091534,The Euphoria of Being,2019 documentary film by Réka Szabó,2019-09-12T00:00:00Z,84.0,2019
Q101091534,The Euphoria of Being,2019 documentary film by Réka Szabó,2019-01-01T00:00:00Z,84.0,2019
Q101245363,More Beautiful for Having Been Broken,2019 film by Nicole Conn,2019-01-01T00:00:00Z,,2019
Q102162355,Fluidity,2019 film,2019-01-01T00:00:00Z,105.0,2019
Q102282176,The Final Land,2019 film by Marcel Barion,2019-01-15T00:00:00Z,113.0,2019
Q102345779,An Uncertain Border,2019 film by Isabella Sandri,2019-10-24T00:00:00Z,118.0,2019
Q103757495,Vagenda Stories,2019 film by Natascha Beller,2019-08-29T00:00:00Z,90.0,2019
Q103757495,Vagenda Stories,2019 film by Natascha Beller,2019-08-11T00:00:00Z,90.0,2019
Q104034130,World of Madame X,2019 film,2019-01-01T00:00:00Z,23.0,2019
Q104388845,Youtuber Dad,2019 Peruvian-Argentine film,2019-01-01T00:00:00Z,90.0,2019
Q104518852,The Japon,2019 film,2019-01-01T00:00:00Z,91.0,2019
Q104604605,I Am Riley,American adult documentary film,2019-06-11T00:00:00Z,266.0,2019
