movie_id,title,description,release_date,duration,year
Q1003845,Frequency,2000 film by Gregory Hoblit,2000-08-24T00:00:00Z,118.0,2000
Q1003845,Frequency,2000 film by Gregory Hoblit,2000-04-28T00:00:00Z,118.0,2000
Q1003845,Frequency,2000 film by Gregory Hoblit,2000-01-01T00:00:00Z,118.0,2000
Q1010099,Get Carter,2000 film by Stephen Kay,2000-09-25T00:00:00Z,98.0,2000
Q1010099,Get Carter,2000 film by Stephen Kay,2000-01-01T00:00:00Z,98.0,2000
Q1018491,Bye Bye Bluebird,1999 film directed by Katrin Ottarsdóttir,2000-01-29T00:00:00Z,97.0,2000
Q10261785,Cronicamente Inviável,2000 film by Sérgio Bianchi,2000-01-01T00:00:00Z,101.0,2000
Q10337241,Nights,2000 film by Cláudia Tomaz,2000-01-01T00:00:00Z,73.0,2000
Q10338882,O Circo das Qualidades Humanas,2000 film by Geraldo Veloso,2000-01-01T00:00:00Z,93.0,2000
Q1036921,Swallowtail,1996 film by Shunji Iwai,2000-01-20T00:00:00Z,148.0,2000
Q10382951,Tolerance,2000 film,2000-01-01T00:00:00Z,110.0,2000
Q10394438,Xuxa Popstar,2000 film by Tizuka Yamasaki,2000-01-01T00:00:00Z,84.0,2000
Q103982607,Freak City,1999 film by Lynne Litman,2000-02-02T00:00:00Z,104.0,2000
Q104245829,Divertimento,2000 film directed by José García Hernández,2000-10-22T00:00:00Z,93.0,2000
Q10438507,The Bench,2000 film by Per Fly,2000-10-27T00:00:00Z,93.0,2000
Q10438507,The Bench,2000 film by Per Fly,2000-08-26T00:00:00Z,93.0,2000
Q10438879,CKY2K,2000 film by Bam Margera,2000-01-01T00:00:00Z,,2000
Q104698274,Kairee,Indian Marathi movie directed by Amol Palekar,2000-09-29T00:00:00Z,,2000
Q10469908,Det blir aldrig som man tänkt sig,2000 film by Måns Herngren,2000-01-01T00:00:00Z,114.0,2000
Q10470038,The Unknown,2000 film by Michael Hjorth,2000-01-01T00:00:00Z,91.0,2000
Q10470224,Devil in the Flesh 2,2000 film by Marcus Spiegel,2000-01-01T00:00:00Z,92.0,2000
Q10478006,The Diver,2000 film by Erik Gustavson,2000-01-01T00:00:00Z,97.0,2000
Q1048565,Mambo Café,2000 film by Reuben Gonzalez,2000-01-01T00:00:00Z,98.0,2000
Q1048958,Stuart Little,1999 film directed by Rob Minkoff,2000-04-20T00:00:00Z,84.0,2000
Q1048958,Stuart Little,1999 film directed by Rob Minkoff,2000-02-18T00:00:00Z,84.0,2000
Q10501041,The Birthday,2000 film by Richard Hobert,2000-01-01T00:00:00Z,114.0,2000
Q10518417,Hassel: There Is No Mercy!,2000 film by Mikael Hylin,2000-01-01T00:00:00Z,107.0,2000
Q10527261,"Anyway, He's Definitely Dead",2000 film by Kjell Sundvall,2000-09-01T00:00:00Z,95.0,2000
Q10527261,"Anyway, He's Definitely Dead",2000 film by Kjell Sundvall,2000-08-28T00:00:00Z,95.0,2000
Q10568431,Sven Nykvist: Light Keeps Me Company,2000 film by Carl-Gustaf Nykvist,2000-02-05T00:00:00Z,76.0,2000
Q1056853,In the Mood for Love,2000 film directed by Wong Kar-wai,2000-11-30T00:00:00Z,98.0,2000
Q1056853,In the Mood for Love,2000 film directed by Wong Kar-wai,2000-11-08T00:00:00Z,98.0,2000
Q1056853,In the Mood for Love,2000 film directed by Wong Kar-wai,2000-09-29T00:00:00Z,98.0,2000
Q1056853,In the Mood for Love,2000 film directed by Wong Kar-wai,2000-05-20T00:00:00Z,98.0,2000
Q1057264,House on Haunted Hill,1999 film by William Malone,2000-04-27T00:00:00Z,89.0,2000
Q105759606,Enemies of Laughter,2000 film directed by Joey Travolta,2000-11-09T00:00:00Z,,2000
Q1059084,Chain of Fools,2000 film directed by Pontus Löwenhielm and Patrick von Krusenstjerna,2000-01-01T00:00:00Z,94.0,2000
Q1059378,Chal Mere Bhai,2000 film by David Dhawan,2000-05-05T00:00:00Z,135.0,2000
Q106182,X-Men,2000 film directed by Bryan Singer,2000-11-21T00:00:00Z,104.0,2000
Q106182,X-Men,2000 film directed by Bryan Singer,2000-08-31T00:00:00Z,104.0,2000
Q106182,X-Men,2000 film directed by Bryan Singer,2000-07-14T00:00:00Z,104.0,2000
Q106182,X-Men,2000 film directed by Bryan Singer,2000-07-13T00:00:00Z,104.0,2000
Q10666835,"Sex, Lies and Video Violence",2000 film by Richard Holm,2000-01-01T00:00:00Z,68.0,2000
Q106692753,A Small Pilgrimage,2000 film directed by Heikki Kujanpää,2000-01-01T00:00:00Z,,2000
Q10671737,Endgame,2000 film,2000-01-01T00:00:00Z,84.0,2000
Q106717929,Far Away Country Pa-Isch,2000 film directed by Rainer Simon,2000-08-17T00:00:00Z,,2000
Q106717929,Far Away Country Pa-Isch,2000 film directed by Rainer Simon,2000-01-01T00:00:00Z,,2000
Q106718014,The Queen,2000 documentary film directed by Werner Schroeter,2000-12-07T00:00:00Z,,2000
Q106718014,The Queen,2000 documentary film directed by Werner Schroeter,2000-02-01T00:00:00Z,,2000
Q106720212,Just the Beginning,2000 film by Pierre Franckh,2000-07-27T00:00:00Z,94.0,2000
Q1068375,The Filth and the Fury,2000 film by Julien Temple,2000-01-20T00:00:00Z,108.0,2000
Q10695632,The Last Stop,2000 film directed by Mark Malone,2000-01-01T00:00:00Z,,2000
Q10695757,The Prophet's Game,2000 film directed by David Worth,2000-01-01T00:00:00Z,,2000
