movie_id,title,description,release_date,duration,year
Q100249839,Mothering Sunday,2021 film directed by Eva Husson,2023-10-04T00:00:00Z,104.0,2023
Q100255627,Forgotten Christmas,2019 film by Andrea Eckerbom,2023-12-23T00:00:00Z,70.0,2023
Q100255627,Forgotten Christmas,2019 film by Andrea Eckerbom,2023-12-01T00:00:00Z,70.0,2023
Q100255627,Forgotten Christmas,2019 film by Andrea Eckerbom,2023-11-15T00:00:00Z,70.0,2023
Q100377303,Dream,South Korean film by Lee Byeong-heon,2023-07-25T00:00:00Z,125.0,2023
Q100377303,Dream,South Korean film by Lee Byeong-heon,2023-04-26T00:00:00Z,125.0,2023
Q100704907,Tiger 3,2023 film directed by Maneesh Sharma,2023-11-12T00:00:00Z,155.0,2023
Q100704907,Tiger 3,2023 film directed by Maneesh Sharma,2023-11-10T00:00:00Z,155.0,2023
Q100740657,Caveman,2023 film directed by Laura Lackmann,2023-01-26T00:00:00Z,,2023
Q100889636,Decision to Leave,2022 South Korean romantic mystery film directed by Park Chan-wook.,2023-02-02T00:00:00Z,138.0,2023
Q101002778,Terrifier 2,2022 film directed by Damien Leone,2023-02-24T00:00:00Z,138.0,2023
Q101002778,Terrifier 2,2022 film directed by Damien Leone,2023-02-21T00:00:00Z,138.0,2023
Q102036297,You Will Remember Me,2020 film directed by Éric Tessier,2023-12-07T00:00:00Z,,2023
Q102273941,Single in Seoul,2023 South Korean romantic comedy film,2023-11-29T00:00:00Z,102.0,2023
Q102273941,Single in Seoul,2023 South Korean romantic comedy film,2023-11-29T00:00:00Z,103.0,2023
Q104044312,Tetris,2023 film directed by Jon S. Baird,2023-03-31T00:00:00Z,118.0,2023
Q104044312,Tetris,2023 film directed by Jon S. Baird,2023-03-24T00:00:00Z,118.0,2023
Q104044312,Tetris,2023 film directed by Jon S. Baird,2023-03-15T00:00:00Z,118.0,2023
Q104177168,"Sihja, the Rebel Fairy",2021 film directed by Marja Pyykkö,2023-02-18T00:00:00Z,89.0,2023
Q104187039,65,2023 film directed by Scott Beck and Bryan Woods,2023-03-16T00:00:00Z,93.0,2023
Q104187039,65,2023 film directed by Scott Beck and Bryan Woods,2023-03-15T00:00:00Z,93.0,2023
Q104187039,65,2023 film directed by Scott Beck and Bryan Woods,2023-03-10T00:00:00Z,93.0,2023
Q104187039,65,2023 film directed by Scott Beck and Bryan Woods,2023-03-09T00:00:00Z,93.0,2023
Q104501654,Vinski and the Invisibility Powder,2021 film directed by Juha Wuolijoki,2023-12-07T00:00:00Z,86.0,2023
Q104501654,Vinski and the Invisibility Powder,2021 film directed by Juha Wuolijoki,2023-05-04T00:00:00Z,86.0,2023
Q104501654,Vinski and the Invisibility Powder,2021 film directed by Juha Wuolijoki,2023-04-19T00:00:00Z,86.0,2023
Q104822312,Operation Fortune: Ruse de Guerre,2023 film directed by Guy Ritchie,2023-01-05T00:00:00Z,114.0,2023
Q104866898,Surrounded,2023 film by Anthony Mandler,2023-04-02T00:00:00Z,100.0,2023
Q104872036,Love Again,2023 film directed by James C. Strouse,2023-06-07T00:00:00Z,104.0,2023
Q104872036,Love Again,2023 film directed by James C. Strouse,2023-05-25T00:00:00Z,104.0,2023
Q104872036,Love Again,2023 film directed by James C. Strouse,2023-05-12T00:00:00Z,104.0,2023
Q104873310,Linoleum,2022 film directed by Colin West,2023-02-24T00:00:00Z,101.0,2023
Q104876047,Cobweb,2023 film by Samuel Bodin,2023-08-03T00:00:00Z,88.0,2023
Q104876047,Cobweb,2023 film by Samuel Bodin,2023-07-28T00:00:00Z,88.0,2023
Q104876047,Cobweb,2023 film by Samuel Bodin,2023-07-27T00:00:00Z,88.0,2023
Q104876047,Cobweb,2023 film by Samuel Bodin,2023-07-21T00:00:00Z,88.0,2023
Q104876047,Cobweb,2023 film by Samuel Bodin,2023-07-20T00:00:00Z,88.0,2023
Q104876047,Cobweb,2023 film by Samuel Bodin,2023-07-19T00:00:00Z,88.0,2023
Q104898441,Two words as the key,film directed by Dan Svátek,2023-01-01T00:00:00Z,100.0,2023
Q104898462,Bandits of the Ballad,2022 Czech film directed by Vladimír Morávek,2023-03-16T00:00:00Z,80.0,2023
Q104898462,Bandits of the Ballad,2022 Czech film directed by Vladimír Morávek,2023-03-16T00:00:00Z,84.0,2023
Q104898818,Bastardi: Reparát,film directed by Tomáš Magnusek,2023-01-01T00:00:00Z,86.0,2023
Q104902025,They Cloned Tyrone,2023 film by Juel Taylor,2023-07-21T00:00:00Z,,2023
Q104902025,They Cloned Tyrone,2023 film by Juel Taylor,2023-07-14T00:00:00Z,,2023
Q104902025,They Cloned Tyrone,2023 film by Juel Taylor,2023-06-14T00:00:00Z,,2023
Q105044060,Before the World Set on Fire,2023 film directed by Jaclyn Bethany,2023-01-01T00:00:00Z,,2023
Q105085668,Both Sides of the Blade,2022 film directed by Claire Denis,2023-06-01T00:00:00Z,117.0,2023
Q105095346,Love at First Sight,2023 film directed by Vanessa Caswill,2023-09-15T00:00:00Z,91.0,2023
Q105123073,To Catch a Killer,2023 film directed by Damián Szifron,2023-10-05T00:00:00Z,119.0,2023
Q105123073,To Catch a Killer,2023 film directed by Damián Szifron,2023-05-11T00:00:00Z,119.0,2023
Q105123073,To Catch a Killer,2023 film directed by Damián Szifron,2023-05-04T00:00:00Z,119.0,2023
Q105123073,To Catch a Killer,2023 film directed by Damián Szifron,2023-04-28T00:00:00Z,119.0,2023
Q105123073,To Catch a Killer,2023 film directed by Damián Szifron,2023-04-27T00:00:00Z,119.0,2023
Q105123073,To Catch a Killer,2023 film directed by Damián Szifron,2023-04-26T00:00:00Z,119.0,2023
Q105123073,To Catch a Killer,2023 film directed by Damián Szifron,2023-04-21T00:00:00Z,119.0,2023
Q105123073,To Catch a Killer,2023 film directed by Damián Szifron,2023-04-20T00:00:00Z,119.0,2023
Q105123073,To Catch a Killer,2023 film directed by Damián Szifron,2023-04-06T00:00:00Z,119.0,2023
Q105152510,Rumba Therapy,2020 film directed by Franck Dubosc,2023-08-03T00:00:00Z,102.0,2023
Q105152510,Rumba Therapy,2020 film directed by Franck Dubosc,2023-08-03T00:00:00Z,103.0,2023
Q105227223,The Eternal Daughter,2022 film directed by Joanna Hogg,2023-03-22T00:00:00Z,96.0,2023
Q105334186,What's Love Got to Do With It?,2022 film directed by Shekhar Kapur,2023-02-23T00:00:00Z,109.0,2023
Q105334186,What's Love Got to Do With It?,2022 film directed by Shekhar Kapur,2023-01-26T00:00:00Z,109.0,2023
Q105359456,Ant-Man and the Wasp: Quantumania,2023 film directed by Peyton Reed,2023-02-17T00:00:00Z,124.0,2023
Q105359456,Ant-Man and the Wasp: Quantumania,2023 film directed by Peyton Reed,2023-02-16T00:00:00Z,124.0,2023
Q105359456,Ant-Man and the Wasp: Quantumania,2023 film directed by Peyton Reed,2023-02-15T00:00:00Z,124.0,2023
Q105359456,Ant-Man and the Wasp: Quantumania,2023 film directed by Peyton Reed,2023-02-17T00:00:00Z,125.0,2023
Q105359456,Ant-Man and the Wasp: Quantumania,2023 film directed by Peyton Reed,2023-02-16T00:00:00Z,125.0,2023
Q105359456,Ant-Man and the Wasp: Quantumania,2023 film directed by Peyton Reed,2023-02-15T00:00:00Z,125.0,2023
Q105413030,Rabies,2023 film directed by Dmitry Dyachenko,2023-02-23T00:00:00Z,100.0,2023
Q105438429,When You Finish Saving the World,2022 film directed by Jesse Eisenberg,2023-01-20T00:00:00Z,88.0,2023
Q105554572,Dungeons & Dragons: Honor Among Thieves,2023 film directed by Jonathan Goldstein and John Francis Daley,2023-04-12T00:00:00Z,108.0,2023
Q105554572,Dungeons & Dragons: Honor Among Thieves,2023 film directed by Jonathan Goldstein and John Francis Daley,2023-03-31T00:00:00Z,108.0,2023
Q105554572,Dungeons & Dragons: Honor Among Thieves,2023 film directed by Jonathan Goldstein and John Francis Daley,2023-03-30T00:00:00Z,108.0,2023
Q105554572,Dungeons & Dragons: Honor Among Thieves,2023 film directed by Jonathan Goldstein and John Francis Daley,2023-03-29T00:00:00Z,108.0,2023
Q105554572,Dungeons & Dragons: Honor Among Thieves,2023 film directed by Jonathan Goldstein and John Francis Daley,2023-03-19T00:00:00Z,108.0,2023
Q105554572,Dungeons & Dragons: Honor Among Thieves,2023 film directed by Jonathan Goldstein and John Francis Daley,2023-03-10T00:00:00Z,108.0,2023
Q105554572,Dungeons & Dragons: Honor Among Thieves,2023 film directed by Jonathan Goldstein and John Francis Daley,2023-04-12T00:00:00Z,134.0,2023
Q105554572,Dungeons & Dragons: Honor Among Thieves,2023 film directed by Jonathan Goldstein and John Francis Daley,2023-03-31T00:00:00Z,134.0,2023
Q105554572,Dungeons & Dragons: Honor Among Thieves,2023 film directed by Jonathan Goldstein and John Francis Daley,2023-03-30T00:00:00Z,134.0,2023
Q105554572,Dungeons & Dragons: Honor Among Thieves,2023 film directed by Jonathan Goldstein and John Francis Daley,2023-03-29T00:00:00Z,134.0,2023
Q105554572,Dungeons & Dragons: Honor Among Thieves,2023 film directed by Jonathan Goldstein and John Francis Daley,2023-03-19T00:00:00Z,134.0,2023
Q105554572,Dungeons & Dragons: Honor Among Thieves,2023 film directed by Jonathan Goldstein and John Francis Daley,2023-03-10T00:00:00Z,134.0,2023
Q105658294,Shotgun Wedding,2022 film directed by Jason Moore,2023-02-14T00:00:00Z,100.0,2023
Q105658294,Shotgun Wedding,2022 film directed by Jason Moore,2023-01-26T00:00:00Z,100.0,2023
Q105658294,Shotgun Wedding,2022 film directed by Jason Moore,2023-01-19T00:00:00Z,100.0,2023
Q105658294,Shotgun Wedding,2022 film directed by Jason Moore,2023-01-13T00:00:00Z,100.0,2023
Q105658294,Shotgun Wedding,2022 film directed by Jason Moore,2023-01-12T00:00:00Z,100.0,2023
Q105658294,Shotgun Wedding,2022 film directed by Jason Moore,2023-01-06T00:00:00Z,100.0,2023
Q105685552,The Goldfinger,2023 film directed by Felix Chong,2023-12-30T00:00:00Z,126.0,2023
Q105697891,The Sadness,2021 film directed by Rob Jabbaz,2023-12-21T00:00:00Z,100.0,2023
